OBJECTID;Activate;Address;PosicionSTR;Ligth;Name;NoAvailable;number;TotalBases;State;POINT_X;POINT_Y
510;1;Calle Puerto de Porzuna, 34,;-3.6236297000000004 40.373826;1;446 - C. Deportivo Mpal. Miguel Guillén Prim;0;446;23;IN_SERVICE;-3,6236297;40,373826
511;1;Parque Eugenia de Montijo, 2,;-3.7545821999999998 40.3783501;2;382 -Parque Eugenia de Montijo, 2;0;382;24;IN_SERVICE;-3,7545822;40,3783501
512;1;Calle transversal sexta (enfrente del colegio Villamadrid),;-3.6992665 40.3325463;2;410 - Est. de tren de S. Cristóbal Industrial;0;410;24;IN_SERVICE;-3,6992665;40,3325463
513;1;Calle Valdesangil, 34 ,;-3.7166729 40.4684218;0;319 - Valdesangil;0;319;24;IN_SERVICE;-3,7166729;40,4684218
514;1;Calle María Tubau, 3 ,;-3.671703587033564 40.51399230680476;0;579 - Maria Tubau - Isabel Colbrand;0;579;24;IN_SERVICE;-3,671703587;40,51399231
515;1;Calle del Monasterio de Sobrado, nº6,;-3.6928369999999995 40.5093225;2;602 - Monasterio Sobrado - Monasterio Silos;0;602;24;IN_SERVICE;-3,692837;40,5093225
516;1;Calle Ubeda esquina Plaza Virgen de la capilla ,;-3.7149566 40.4825507;2;600 - Centro Deportivo Municipal La Masó;0;600;24;IN_SERVICE;-3,7149566;40,4825507
517;1;Avenida de Logroño, 112 ,;-3.5815033 40.4703472;1;566 - Avenida de Logroño;0;566;24;IN_SERVICE;-3,5815033;40,4703472
518;1;Calle Playa de Riazor, 65 ,;-3.5838869 40.47563573;2;565 - Metro Barajas;0;565;24;IN_SERVICE;-3,5838869;40,47563573
519;1;467 -  Calle Villardondiego  nº32,;-3.6084888 40.4062361;0;467 - Univ. Rey Juan Carlos - Facultad  CJS;0;467;24;IN_SERVICE;-3,6084888;40,4062361
520;1;469 - Ladera de los Almendros, 6,;-3.6229899999999997 40.40343;2;469 - C. Deportivo Mpal Faustina Valladolid;0;469;24;IN_SERVICE;-3,62299;40,40343
521;1;Avenida Real, 3,;-3.6063672000000007 40.4021519;0;470 - Avenida Real - Galeote;0;470;18;IN_SERVICE;-3,6063672;40,4021519
