87 O Donnell-Retiro                                                                                                                                                                                         -3.6782119 40.423445
88 O Donnell-Narváez                                                                                                                                                                                        -3.6751809 40.4233006
89 Narváez-Ibiza                                                                                                                                                                                            -3.6751638 40.4204088
90 Sainz de Baranda-Narváez                                                                                                                                                                                 -3.6743768 40.4186611
91 Sainz de Baranda-Maiquez                                                                                                                                                                                 -3.6716933 40.4185056
92 Metro Sainz de Baranda                                                                                                                                                                                   -3.6685771 40.4182849
93 Hospital Gregorio Marañón                                                                                                                                                                                -3.6677819 40.4201183
94 Doctor Esquerdo-O Donnell                                                                                                                                                                                -3.6675921 40.4222726
95 O'Donnell                                                                                                                                                                                                -3.6674367 40.4245528
96 Doctor Esquerdo-Goya                                                                                                                                                                                     -3.6672293 40.4266756
97 Puerta de Toledo                                                                                                                                                                                         -3.7111001 40.409351
98 Puerta de Toledo                                                                                                                                                                                         -3.7108484 40.4095462
99 La Paloma                                                                                                                                                                                                -3.7119073 40.4108775
100 San Francisco El Grande                                                                                                                                                                                  -3.7124381 40.4127707
101 Las Vistillas                                                                                                                                                                                            -3.7124621 40.4139327
102 Palacio Real                                                                                                                                                                                             -3.7121365 40.4165833
103 Plaza de España                                                                                                                                                                                          -3.7105477 40.4245841
104 Gran Vía-Pedro Zerolo                                                                                                                                                                                    -3.6986102 40.42181
105 Hortaleza                                                                                                                                                                                                -3.6990729 40.4230595
106 Chueca                                                                                                                                                                                                   -3.6974228 40.4254028
107 Santa Bárbara                                                                                                                                                                                            -3.6954384 40.428167
108 Alonso Martínez                                                                                                                                                                                          -3.6944192 40.4301867
109 Santa Engracia-Caracas                                                                                                                                                                                   -3.6954343 40.432595
110 Plaza Chamberí                                                                                                                                                                                           -3.6963621 40.4345353
111 Iglesia                                                                                                                                                                                                  -3.6971485 40.4364765
112 Santa Engracia-García de Paredes                                                                                                                                                                         -3.6978971 40.4381747
113 Santa Engracia-Bretón de los Herreros                                                                                                                                                                    -3.6992506 40.4413557
114 Metro Ríos Rosas                                                                                                                                                                                         -3.7002295 40.4436471
115 Santa Engracia-María de Guzmán                                                                                                                                                                           -3.7012678 40.4459832
116 Cuatro Caminos                                                                                                                                                                                           -3.7021008 40.447843
117 Alvarado                                                                                                                                                                                                 -3.7022288 40.4510764
118 Teruel                                                                                                                                                                                                   -3.7018288 40.4534302
119 Estrecho                                                                                                                                                                                                 -3.701192 40.4545692
