|ID|name
193|06015|Badajoz
194|06016_AM|Barcarrota agregacion de municipios
195|06019_AM|Berlanga agregacion de municipios
196|06020_AM|Bienvenida agregacion de municipios
197|06022|Burguillos del Cerro
198|06023|Cabeza del Buey
199|06025|Calamonte
200|06028|Campanario
201|06033_AM|Casas de Don Pedro agregacion de municipios
202|06036_AM|Castuera agregacion de municipios
203|06039_AM|Coronada, La agregacion de municipios
204|06044_AM|Don Benito agregacion de municipios
205|06050|Fregenal de la Sierra
206|06051_AM|Fuenlabrada de los Montes agregacion de municipios
207|06052_AM|Fuente de Cantos agregacion de municipios
208|06054|Fuente del Maestre
209|06055_AM|Fuentes de León agregacion de municipios
210|06058_AM|Garrovilla, La agregacion de municipios
211|06059_AM|Granja de Torrehermosa agregacion de municipios
212|06060_AM|Guareña agregacion de municipios
213|06063|Herrera del Duque
214|06066_AM|Higuera de Vargas agregacion de municipios
215|06067_AM|Higuera la Real agregacion de municipios
216|06069_AM|Hornachos agregacion de municipios
217|06070_AM|Jerez de los Caballeros agregacion de municipios
218|06072|Lobón
219|06074_AM|Llerena agregacion de municipios
220|06080_AM|Medellín agregacion de municipios
221|06083|Mérida
222|06085_AM|Monesterio agregacion de municipios
223|06087_AM|Monterrubio de la Serena agregacion de municipios
224|06088|Montijo
225|06091|Navalvillar de Pela
226|06093_AM|Oliva de la Frontera agregacion de municipios
227|06094_AM|Oliva de Mérida agregacion de municipios
228|06095|Olivenza
229|06097_AM|Orellana la Vieja agregacion de municipios
230|06103|Puebla de la Calzada
231|06108|Puebla de Sancho Pérez
232|06109|Quintana de la Serena
233|06113_AM|Ribera del Fresno agregacion de municipios
234|06117_AM|Salvatierra de los Barros agregacion de municipios
235|06120|Santa Amalia
236|06121|Santa Marta
237|06122|Santos de Maimona, Los
238|06123_AM|San Vicente de Alcántara agregacion de municipios
239|06125_AM|Siruela agregacion de municipios
240|06126_AM|Solana de los Barros agregacion de municipios
241|06127|Talarrubias
242|06128|Talavera la Real
243|06135_AM|Trujillanos agregacion de municipios
244|06141_AM|Valencia del Ventoso agregacion de municipios
245|06143|Valverde de Leganés
246|06149|Villafranca de los Barros
247|06153|Villanueva de la Serena
248|06154|Villanueva del Fresno
249|06155_AM|Villar del Rey agregacion de municipios
250|06158|Zafra
251|06159|Zahínos
252|06160_AM|Zalamea de la Serena agregacion de municipios
253|06162|Zarza, La
254|06901|Valdelacalzada
255|06903_AM|Guadiana agregacion de municipios
256|07001|Alaró
257|07002|Alaior
258|07003|Alcúdia
259|07004|Algaida
260|07005|Andratx
261|07006|ArtÍ
262|07008|Binissalem
263|07010|Bunyola
264|07011|CalviÍ
265|07012_AM|Campanet agregacion de municipios
266|07013|Campos
267|07014|Capdepera
268|07015|Ciutadella de Menorca
269|07016|Consell
270|07020|Esporles
271|07022|Felanitx
272|07023_AM|Ferreries agregacion de municipios
273|07024|Formentera
274|07026|Eivissa
275|07027|Inca
276|07028_AM|Lloret de Vistalegre agregacion de municipios
277|07029|Lloseta
278|07030_AM|Llubí agregacion de municipios
279|07031|Llucmajor
280|07032|Maó-Mahón
281|07033|Manacor
282|07036|Marratxí
283|07037|Mercadal, Es
284|07038_AM|Montuïri agregacion de municipios
285|07039|Muro
286|07040|Palma
287|07041_AM|Petra agregacion de municipios
288|07042|Pollença
289|07043|Porreres
290|07044|Pobla, Sa
291|07045_AM|Puigpunyent agregacion de municipios
292|07046|Sant Antoni de Portmany
293|07047_AM|Sencelles agregacion de municipios
294|07048|Sant Josep de sa Talaia
295|07050|Sant Joan de Labritja
296|07051|Sant Llorenç des Cardassar
297|07052|Sant Lluís
298|07054|Santa Eulària des Riu
299|07055|Santa Margalida
300|07056|Santa María del Camí
301|07057|Santanyí
302|07058_AM|Selva agregacion de municipios
303|07059|Salines, Ses
304|07060|Sineu
305|07061|Sóller
306|07062|Son Servera
307|07064|Castell, Es
308|07065|Vilafranca de Bonany
309|08001|Abrera
310|08003|Alella
311|08005|Ametlla del Vallès, L'
312|08006|Arenys de Mar
313|08007|Arenys de Munt
314|08009|Argentona
315|08010_AM|Artés agregacion de municipios
316|08011_AM|Aviàagregacion de municipios
317|08014|Aiguafreda
318|08015|Badalona
319|08016_AM|Bagàagregacion de municipios
320|08017|BalenyÍ
321|08018_AM|Balsareny agregacion de municipios
322|08019|Barcelona
323|08020|Begues
324|08022|Berga
325|08023|Bigues i Riells
326|08029|Cabrera de Mar
327|08030|Cabrils
328|08031|Calaf
329|08032|Caldes d'Estrac
330|08033|Caldes de Montbui
331|08034_AM|Calders agregacion de municipios
332|08035|Calella
333|08037_AM|Calldetenes agregacion de municipios
334|08038_AM|Callús agregacion de municipios
335|08040|Canet de Mar
336|08041|Canovelles
337|08042|Cànoves i Samalús
338|08043|Canyelles
339|08044_AM|Capellades agregacion de municipios
340|08046|Cardedeu
341|08047_AM|Cardona agregacion de municipios
342|08051|Castellar del Vallès
343|08053|Castellbell i el Vilar
344|08054|Castellbisbal
345|08056|Castelldefels
346|08064|Castellterçol
347|08067|Centelles
348|08068|Cervelló
349|08069|Collbató
350|08072|Corbera de Llobregat
351|08073|Cornellà de Llobregat
352|08074|Cubelles
353|08075|Dosrius
354|08076|Esparreguera
355|08077|Esplugues de Llobregat
356|08085_AM|Font-rubí agregacion de municipios
357|08086|Franqueses del Vallès, Les
358|08088|Garriga, La
359|08089|GavÍ
360|08091_AM|Gelida agregacion de municipios
361|08092|Gironella
362|08094_AM|Granada, La agregacion de municipios
363|08096|Granollers
364|08097_AM|Gualba agregacion de municipios
365|08098_AM|Sant Salvador de Guardiola agregacion de municipios
366|08100|Gurb
367|08101|Hospitalet de Llobregat, L'
368|08102|Igualada
369|08105|Llagosta, La
370|08106|Llinars del Vallès
371|08107|Lliçà d'Amunt
372|08108|Lliçà de Vall
373|08110|Malgrat de Mar
374|08112|Manlleu
375|08113|Manresa
376|08114|Martorell
377|08115_AM|Martorelles agregacion de municipios
378|08117|Masies de Voltregà, Les
379|08118|Masnou, El
380|08119|Masquefa
381|08120|Matadepera
382|08121|Mataró
383|08122_AM|Mediona agregacion de municipios
384|08123|Molins de Rei
385|08124|Mollet del Vallès
386|08125|Montcada i Reixac
387|08126|Montgat
388|08127_AM|Monistrol de Montserrat agregacion de municipios
389|08135|Montmeló
390|08136|Montornès del Vallès
391|08138|MoiÍ
392|08140|Navarcles
393|08141|Navàs
394|08143|Òdena
395|08145_AM|Olèrdola agregacion de municipios
396|08147|Olesa de Montserrat
397|08148|Olivella
398|08149_AM|Olost agregacion de municipios
399|08155|Palafolls
400|08156|Palau-solità i Plegamans
401|08157|PallejÍ
402|08158|Papiol, El
403|08159|Parets del Vallès
404|08161|Piera
405|08162_AM|Hostalets de Pierola, Els agregacion de municipios
406|08163|Pineda de Mar
407|08167|PolinyÍ
408|08169|Prat de Llobregat, El
409|08170_AM|Prats de Rei, Els agregacion de municipios
410|08171|Prats de Lluçanès
411|08172|Premià de Mar
412|08175_AM|Puig-reig agregacion de municipios
413|08180|Ripollet
414|08181|Roca del Vallès, La
415|08182|Pont de Vilomara i Rocafort, El
416|08183|Roda de Ter
417|08184|Rubí
418|08187|Sabadell
419|08191|Sallent
420|08192|Santpedor
421|08194|Sant Adrià de Besòs
422|08196|Sant Andreu de la Barca
423|08197|Sant Andreu de Llavaneres
424|08198|Sant Antoni de Vilamajor
425|08200|Sant Boi de Llobregat
426|08202|Sant Celoni
427|08203|Sant Cebrià de Vallalta
428|08204|Sant Climent de Llobregat
429|08205|Sant Cugat del Vallès
430|08207|Sant Esteve de Palautordera
431|08208_AM|Sant Esteve Sesrovires agregacion de municipios
432|08209|Sant Fost de Campsentelles
433|08210|Sant Feliu de Codines
434|08211|Sant Feliu de Llobregat
435|08213|Sant Fruitós de Bages
436|08214|Vilassar de Dalt
437|08215|Sant Hipòlit de VoltregÍ
438|08217|Sant Joan Despí
439|08218|Sant Joan de Vilatorrada
440|08219|Vilassar de Mar
441|08220_AM|Sant Julià de Vilatorta agregacion de municipios
442|08221|Sant Just Desvern
443|08223|Sant Llorenç Savall
444|08224_AM|Sant Martí de Centelles agregacion de municipios
445|08226_AM|Sant Martí de Tous agregacion de municipios
446|08227_AM|Sant Martí Sarroca agregacion de municipios
447|08230|Premià de Dalt
448|08231|Sant Pere de Ribes
449|08232_AM|Sant Pere de Riudebitlles agregacion de municipios
450|08233_AM|Sant Pere de Torelló agregacion de municipios
451|08234|Sant Pere de Vilamajor
452|08235|Sant Pol de Mar
453|08237_AM|Sant Quirze de Besora agregacion de municipios
454|08238|Sant Quirze del Vallès
455|08240|Sant Sadurní d'Anoia
456|08244|Santa Coloma de Cervelló
457|08245|Santa Coloma de Gramenet
458|08247_AM|Santa Eulàlia de Riuprimer agregacion de municipios
459|08248|Santa Eulàlia de Ronçana
460|08250|Santa Margarida de Montbui
461|08251|Santa Margarida i els Monjos
462|08252|Barberà del Vallès
463|08258_AM|Santa Maria d'Oló agregacion de municipios
464|08259|Santa Maria de Palautordera
465|08260|Santa Perpètua de Mogoda
466|08261|Santa Susanna
467|08262_AM|Sant Vicenç de Castellet agregacion de municipios
468|08263|Sant Vicenç dels Horts
469|08264|Sant Vicenç de Montalt
470|08266|Cerdanyola del Vallès
471|08267|Sentmenat
472|08268_AM|Cercs agregacion de municipios
473|08269|Seva
474|08270|Sitges
475|08273_AM|Subirats agregacion de municipios
476|08274|Súria
477|08278_AM|Taradell agregacion de municipios
478|08279|Terrassa
479|08281|TeiÍ
480|08282|Tiana
