ID|name
0312102|Santa Pola distrito 02
0312201|San Vicente del Raspeig/Sant Vicent del Raspeig distrito 01
0312202|San Vicente del Raspeig/Sant Vicent del Raspeig distrito 02
0312203|San Vicente del Raspeig/Sant Vicent del Raspeig distrito 03
03123_AM|Sax agregacion de municipios
03128|Teulada
0313301|Torrevieja distrito 01
0313302|Torrevieja distrito 02
0313303|Torrevieja distrito 03
03138|Verger, el
0313901|Villajoyosa/Vila Joiosa, la distrito 01
0313902|Villajoyosa/Vila Joiosa, la distrito 02
0313903|Villajoyosa/Vila Joiosa, la distrito 03
03140|Villena
03901|Poblets, els
03902|Pilar de la Horadada
03903|Montesinos, Los
04003|Adra
04006|Albox
04011_AM|Alhama de Almería agregacion de municipios
0401301|Almería distrito 01
0401302|Almería distrito 02
0401303|Almería distrito 03
0401304|Almería distrito 04
0401305|Almería distrito 05
0401306|Almería distrito 06
0401307|Almería distrito 07
0401308|Almería distrito 08
04016|Antas
04017_AM|Arboleas agregacion de municipios
04024|Benahadux
0402901|Berja distrito 01
0402902|Berja distrito 02
04031|Cantoria
04032|Carboneras
04035|Cuevas del Almanzora
04038|Dalías
04044_AM|Fines agregacion de municipios
04045_AM|Fiñana agregacion de municipios
04047_AM|Gádor agregacion de municipios
04048_AM|Gallardos, Los agregacion de municipios
0404901|Garrucha distrito 01
0404902|Garrucha distrito 02
04050_AM|Gérgal agregacion de municipios
04052|Huércal de Almería
04053|Huércal-Overa
04057_AM|Láujar de Andarax agregacion de municipios
04062_AM|Macael agregacion de municipios
04064|Mojácar
0406601|Níjar distrito 01
0406602|Níjar distrito 02
0406603|Níjar distrito 03
04069|Olula del Río
04070_AM|Oria agregacion de municipios
04074|Pechina
0407501|Pulpí distrito 01
0407502|Pulpí distrito 02
0407901|Roquetas de Mar distrito 01
0407902|Roquetas de Mar distrito 02
04083_AM|Serón agregacion de municipios
04086_AM|Sorbas agregacion de municipios
04088_AM|Tabernas agregacion de municipios
04092|Tíjola
04093|Turre
04098_AM|Vélez-Blanco agregacion de municipios
04099|Vélez-Rubio
0410001|Vera distrito 01
0410002|Vera distrito 02
0410003|Vera distrito 03
0410004|Vera distrito 04
04101|Viator
04102|Vícar
04902|Ejido, El
04903|Mojonera, La
04904|Balanegra
05002_AM|Adrada, La agregacion de municipios
05013_AM|Arenal, El agregacion de municipios
05014_AM|Arenas de San Pedro agregacion de municipios
05016|Arévalo
0501901|Ávila distrito 01
0501902|Ávila distrito 02
0501903|Ávila distrito 03
0501904|Ávila distrito 04
0501905|Ávila distrito 05
0501906|Ávila distrito 06
05021_AM|Barco de Ávila, El agregacion de municipios
05047|Candeleda
05054_AM|Casavieja agregacion de municipios
05057|Cebreros
05102_AM|Hoyo de Pinares, El agregacion de municipios
05114_AM|Madrigal de las Altas Torres agregacion de municipios
05163_AM|Navaluenga agregacion de municipios
05168_AM|Navas del Marqués, Las agregacion de municipios
05186_AM|Piedrahíta agregacion de municipios
05204_AM|Sanchidrián agregacion de municipios
05220_AM|San Pedro del Arroyo agregacion de municipios
05238_AM|Solosancho agregacion de municipios
05240_AM|Sotillo de la Adrada agregacion de municipios
05241_AM|Tiemblo, El agregacion de municipios
05242_AM|Tiñosillos agregacion de municipios
06002|Aceuchal
06005_AM|Albuera, La agregacion de municipios
06006|Alburquerque
0601101|Almendralejo distrito 01
0601102|Almendralejo distrito 02
0601103|Almendralejo distrito 03
0601104|Almendralejo distrito 04
06012_AM|Arroyo de San Serván agregacion de municipios
06014|Azuaga
0601501|Badajoz distrito 01
0601502|Badajoz distrito 02
0601503|Badajoz distrito 03
0601504|Badajoz distrito 04
0601505|Badajoz distrito 05
0601506|Badajoz distrito 06
0601507|Badajoz distrito 07
0601508|Badajoz distrito 08
0601509|Badajoz distrito 09
0601510|Badajoz distrito 10
06016_AM|Barcarrota agregacion de municipios
06019_AM|Berlanga agregacion de municipios
06020_AM|Bienvenida agregacion de municipios
06022|Burguillos del Cerro
06023|Cabeza del Buey
06025|Calamonte
06028|Campanario
06033_AM|Casas de Don Pedro agregacion de municipios
06036_AM|Castuera agregacion de municipios
06039_AM|Coronada, La agregacion de municipios
06044_AM|Don Benito agregacion de municipios
06050|Fregenal de la Sierra
06051_AM|Fuenlabrada de los Montes agregacion de municipios
06052_AM|Fuente de Cantos agregacion de municipios
0605401|Fuente del Maestre distrito 01
0605402|Fuente del Maestre distrito 02
06055_AM|Fuentes de León agregacion de municipios
06058_AM|Garrovilla, La agregacion de municipios
06059_AM|Granja de Torrehermosa agregacion de municipios
06060_AM|Guareña agregacion de municipios
06063|Herrera del Duque
06066_AM|Higuera de Vargas agregacion de municipios
06067_AM|Higuera la Real agregacion de municipios
06069_AM|Hornachos agregacion de municipios
06070_AM|Jerez de los Caballeros agregacion de municipios
06072|Lobón
06074_AM|Llerena agregacion de municipios
06080_AM|Medellín agregacion de municipios
0608301|Mérida distrito 01
0608302_AD|Mérida distrito 02 agregacion de distritos
0608303|Mérida distrito 03
0608304|Mérida distrito 04
0608306|Mérida distrito 06
06085_AM|Monesterio agregacion de municipios
06087_AM|Monterrubio de la Serena agregacion de municipios
06088|Montijo
06091|Navalvillar de Pela
06093_AM|Oliva de la Frontera agregacion de municipios
06094_AM|Oliva de Mérida agregacion de municipios
06095|Olivenza
06097_AM|Orellana la Vieja agregacion de municipios
0610301|Puebla de la Calzada distrito 01
0610302|Puebla de la Calzada distrito 02
06108|Puebla de Sancho Pérez
06109|Quintana de la Serena
06113_AM|Ribera del Fresno agregacion de municipios
06117_AM|Salvatierra de los Barros agregacion de municipios
06120|Santa Amalia
06121|Santa Marta
0612201|Santos de Maimona, Los distrito 01
0612202|Santos de Maimona, Los distrito 02
0612203|Santos de Maimona, Los distrito 03
06123_AM|San Vicente de Alcántara agregacion de municipios
06125_AM|Siruela agregacion de municipios
06126_AM|Solana de los Barros agregacion de municipios
06127|Talarrubias
06128|Talavera la Real
06135_AM|Trujillanos agregacion de municipios
06141_AM|Valencia del Ventoso agregacion de municipios
06143|Valverde de Leganés
06149|Villafranca de los Barros
0615301|Villanueva de la Serena distrito 01
0615302|Villanueva de la Serena distrito 02
0615303|Villanueva de la Serena distrito 03
0615304|Villanueva de la Serena distrito 04
06154|Villanueva del Fresno
06155_AM|Villar del Rey agregacion de municipios
0615801|Zafra distrito 01
0615802|Zafra distrito 02
06159|Zahínos
06160_AM|Zalamea de la Serena agregacion de municipios
06162|Zarza, La
06901|Valdelacalzada
06903_AM|Guadiana agregacion de municipios
07001|Alaró
0700201|Alaior distrito 01
0700202|Alaior distrito 02
07003|Alcúdia
0700401|Algaida distrito 01
0700402|Algaida distrito 02
07005|Andratx
0700601|Artàdistrito 01
0700602|Artàdistrito 02
0700801|Binissalem distrito 01
0700802|Binissalem distrito 02
0701001|Bunyola distrito 01
0701002|Bunyola distrito 02
0701101|Calviàdistrito 01
0701102|Calviàdistrito 02
0701103|Calviàdistrito 03
0701104|Calviàdistrito 04
0701105|Calviàdistrito 05
0701106|Calviàdistrito 06
07012_AM|Campanet agregacion de municipios
0701301|Campos distrito 01
0701302|Campos distrito 02
07014|Capdepera
0701501|Ciutadella de Menorca distrito 01
0701502|Ciutadella de Menorca distrito 02
0701503|Ciutadella de Menorca distrito 03
0701504|Ciutadella de Menorca distrito 04
07016|Consell
07020|Esporles
0702201|Felanitx distrito 01
0702202|Felanitx distrito 02
0702203|Felanitx distrito 03
0702204|Felanitx distrito 04
07023_AM|Ferreries agregacion de municipios
07024|Formentera
07026|Eivissa
0702701|Inca distrito 01
0702702|Inca distrito 02
0702703|Inca distrito 03
07028_AM|Lloret de Vistalegre agregacion de municipios
0702901|Lloseta distrito 01
0702902|Lloseta distrito 02
07030_AM|Llubí agregacion de municipios
07031|Llucmajor
07032|Maó-Mahón
07033|Manacor
0703601|Marratxí distrito 01
0703602|Marratxí distrito 02
07037|Mercadal, Es
07038_AM|Montuïri agregacion de municipios
0703901|Muro distrito 01
0703902|Muro distrito 02
0704001|Palma distrito 01
0704002|Palma distrito 02
0704003|Palma distrito 03
0704004|Palma distrito 04
0704005|Palma distrito 05
07041_AM|Petra agregacion de municipios
07042|Pollença
0704301|Porreres distrito 01
0704302|Porreres distrito 02
07044|Pobla, Sa
07045_AM|Puigpunyent agregacion de municipios
0704601|Sant Antoni de Portmany distrito 01
0704602|Sant Antoni de Portmany distrito 02
07047_AM|Sencelles agregacion de municipios
0704801|Sant Josep de sa Talaia distrito 01
0704802|Sant Josep de sa Talaia distrito 02
07050|Sant Joan de Labritja
0705101|Sant Llorenç des Cardassar distrito 01
0705102|Sant Llorenç des Cardassar distrito 02
0705201|Sant Lluís distrito 01
0705202|Sant Lluís distrito 02
0705401|Santa Eulària des Riu distrito 01
0705402|Santa Eulària des Riu distrito 02
0705403|Santa Eulària des Riu distrito 03
0705404|Santa Eulària des Riu distrito 04
0705405|Santa Eulària des Riu distrito 05
07055|Santa Margalida
0705601|Santa María del Camí distrito 01
0705602|Santa María del Camí distrito 02
0705701|Santanyí distrito 01
0705702|Santanyí distrito 02
07058_AM|Selva agregacion de municipios
07059|Salines, Ses
07060|Sineu
0706101|Sóller distrito 01
0706102|Sóller distrito 02
0706103|Sóller distrito 03
07062|Son Servera
07064|Castell, Es
07065|Vilafranca de Bonany
08001|Abrera
08003|Alella
08005|Ametlla del Vallès, L'
0800601|Arenys de Mar distrito 01
0800602|Arenys de Mar distrito 02
0800701|Arenys de Munt distrito 01
0800702|Arenys de Munt distrito 02
0800901|Argentona distrito 01
0800902|Argentona distrito 02
08010_AM|Artés agregacion de municipios
08011_AM|Aviàagregacion de municipios
08014|Aiguafreda
