Codigo;Provincia;distrito;name;poblacion;fecha;edad;sexo;numero_viajes;personas
28;Madrid                ;2807902 ;Arganzuela                                    ;153982;202401;65-100;mujer;0;185243.561
28;Madrid                ;2807902 ;Arganzuela                                    ;153982;202401;65-100;mujer;1;21776.2
28;Madrid                ;2807902 ;Arganzuela                                    ;153982;202401;65-100;mujer;2;120343.262
28;Madrid                ;2807902 ;Arganzuela                                    ;153982;202401;65-100;mujer;2+;254983.311
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;0-25;hombre;0;109872.055
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;0-25;hombre;1;14502.056
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;0-25;hombre;2;70053.744
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;0-25;hombre;2+;160029.025
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;0-25;mujer;0;91310.155
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;0-25;mujer;1;13728.37
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;0-25;mujer;2;69792.243
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;0-25;mujer;2+;167695.963
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;25-45;hombre;0;106778.465
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;25-45;hombre;1;16434.898
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;25-45;hombre;2;90755.761
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;25-45;hombre;2+;227376.477
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;25-45;mujer;0;98519.711
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;25-45;mujer;1;18033.286
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;25-45;mujer;2;98488.193
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;25-45;mujer;2+;257377.146
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;45-65;hombre;0;99024.774
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;45-65;hombre;1;16778.41
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;45-65;hombre;2;95067.018
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;45-65;hombre;2+;247199.505
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;45-65;mujer;0;112416.051
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;45-65;mujer;1;19429.392
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;45-65;mujer;2;113062.687
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;45-65;mujer;2+;292712.9320000001
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;65-100;hombre;0;126193.676
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;65-100;hombre;1;13475.03
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;65-100;hombre;2;75131.11
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;65-100;hombre;2+;149458.017
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;65-100;mujer;0;203431.092
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;65-100;mujer;1;22385.793
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;65-100;mujer;2;125159.528
28;Madrid                ;2807903 ;Retiro                                        ;118335;202401;65-100;mujer;2+;229099.334
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;0-25;hombre;0;135749.624
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;0-25;hombre;1;18500.66
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;0-25;hombre;2;82117.987
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;0-25;hombre;2+;196393.951
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;0-25;mujer;0;115797.918
28;Madrid                ;2807904 ;Salamanca                                     ;145579;202401;0-25;mujer;1;18785.278
