stop_id;stop_name;stop_lat;stop_lon;transport_mode
par_4_293    ;LA GAVIA                          ;40.37019;-3.61346;metro               
acc_4_293_713;Avda. Ensanche de Vallecas        ;40.37029;-3.61346;metro               
acc_4_293_714;Ascensor                          ;40.37025;-3.61337;metro               
par_4_294    ;LAS SUERTES                       ;40.36323;-3.59953;metro               
acc_4_294_715;Cañada del Santísimo              ;40.36317;-3.59958;metro               
par_4_295    ;VALDECARROS                       ;40.36007;-3.59316;metro               
acc_4_295_718;Ascensor                          ;40.36009;-3.59312;metro               
par_4_3      ;TETUAN                            ;40.46055;-3.69825;metro               
acc_4_3_7    ;Algodonales                       ;40.45982;-3.69929;metro               
acc_4_3_8    ;General Margallo                  ;40.46115;-3.69788;metro               
par_4_4      ;ESTRECHO                          ;40.45429;-3.70302;metro               
acc_4_4_10   ;Juan de Olías                     ;40.45367;-3.70283;metro               
acc_4_4_9    ;Navarra                           ;40.45363;-3.70309;metro               
par_4_5      ;ALVARADO                          ;40.45033;-3.70331;metro               
acc_4_5_13   ;Bravo Murillo impares             ;40.45026;-3.70361;metro               
acc_4_5_14   ;Bravo Murillo pares               ;40.45017;-3.70337;metro               
par_4_6      ;CUATRO CAMINOS                    ;40.44697;-3.70397;metro               
acc_4_6_15   ;Reina Victoria impares            ;40.44671;-3.70428;metro               
acc_4_6_16   ;Santa Engracia                    ;40.44652;-3.70362;metro               
acc_4_6_19   ;Maudes                            ;40.44534;-3.70258;metro               
acc_4_6_615  ;Ascensor exterior                 ;40.44624;-3.70375;metro               
par_4_7      ;RIOS ROSAS                        ;40.44198;-3.70133;metro               
acc_4_7_20   ;Ríos Rosas pares                  ;40.44189;-3.70113;metro               
acc_4_7_22   ;Sta. Engracia - Pza. Descubridor D;40.44052;-3.70127;metro               
par_4_8      ;IGLESIA                           ;40.43492;-3.69898;metro               
acc_4_8_24   ;Santa Engracia                    ;40.43475;-3.69853;metro               
acc_4_8_25   ;Sagunto                           ;40.43389;-3.6984;metro               
acc_4_8_27   ;Eloy Gonzalo impares              ;40.4349;-3.69932;metro               
par_4_9      ;BILBAO                            ;40.42906;-3.70218;metro               
acc_4_9_1101 ;Luchana - Ascensor                ;40.42904;-3.70166;metro               
acc_4_9_28   ;Fuencarral                        ;40.42926;-3.70193;metro               
acc_4_9_30   ;Manuela Malasaña                  ;40.42876;-3.70206;metro               
acc_4_9_31   ;Francisco de Rojas                ;40.43029;-3.70023;metro               
acc_4_9_33   ;Trafalgar                         ;40.43047;-3.70032;metro               
est_90_21    ;Intercambiador de Plaza de Castill;40.4669;-3.6892;metro               
est_90_25    ;Chamartín                         ;40.4721;-3.68269;metro               
est_90_54    ;Atocha-Renfe                      ;40.40659;-3.68944;metro               
est_90_58    ;Puerta del Sol                    ;40.41688;-3.70331;metro               
est_4_10     ;TRIBUNAL                          ;40.42619;-3.7011;metro               
est_4_11     ;GRAN VIA                          ;40.42001;-3.7018;metro               
est_4_13     ;TIRSO DE MOLINA                   ;40.41235;-3.70466;metro               
est_4_14     ;ANTON MARTIN                      ;40.41246;-3.69937;metro               
est_4_15     ;ESTACION DEL ARTE                 ;40.40885;-3.69249;metro               
