station_id;station_name;stop_lon;stop_lat;state;capacity;transport_mode
78;Metro Pacífico;-3.67452406;40.40063747;IN_SERVICE    ;27;bicimad             
79;Metro Menéndez Pelayo;-3.680439824;40.40511019;IN_SERVICE    ;27;bicimad             
81;Cuesta de Moyano;-3.69183322;40.40934261;IN_SERVICE    ;24;bicimad             
82;Doctor Esquerdo;-3.6697526;40.4084556;IN_SERVICE    ;23;bicimad             
83;Pío Baroja;-3.6744795;40.4132995;IN_SERVICE    ;23;bicimad             
84;Biblioteca Pública Elena Fortún;-3.672481575;40.40357157;IN_SERVICE    ;23;bicimad             
85;Parque del Retiro;-3.679891;40.4213143;IN_SERVICE    ;27;bicimad             
86;Cibeles;-3.6933498;40.4186516;IN_SERVICE    ;24;bicimad             
87;Ayala;-3.6832566;40.427736;IN_SERVICE    ;23;bicimad             
88;Velázquez-Padilla;-3.6838303;40.4313576;IN_SERVICE    ;23;bicimad             
89;Ayala;-3.6752024;40.4272582;IN_SERVICE    ;23;bicimad             
90;Metro Velázquez;-3.6838416;40.4251493;IN_SERVICE    ;27;bicimad             
91;Hermosilla;-3.6786285;40.426049;IN_SERVICE    ;23;bicimad             
92;Claudio Coello;-3.6865463;40.4262945;IN_SERVICE    ;23;bicimad             
93;Plaza de Margaret Thatcher;-3.689336169;40.42575853;IN_SERVICE    ;23;bicimad             
94;Estación de tren de Recoletos;-3.690756;40.4232153;IN_SERVICE    ;23;bicimad             
95;Claudio Coello;-3.6869293;40.4225428;IN_SERVICE    ;23;bicimad             
96;Alcalá;-3.682204799;40.42201516;IN_SERVICE    ;27;bicimad             
97;Metro Príncipe de Vergara;-3.6802556;40.4225364;IN_SERVICE    ;27;bicimad             
98;Plaza de Felipe II;-3.6757676;40.4241325;IN_SERVICE    ;24;bicimad             
99;Alcántara;-3.6740178;40.4260391;IN_SERVICE    ;23;bicimad             
100;Wizink Center;-3.67384;40.42478;IN_SERVICE    ;27;bicimad             
101;Metro O Donnell;-3.6696804;40.4230771;IN_SERVICE    ;24;bicimad             
102;Metro Retiro;-3.6842317;40.4211845;IN_SERVICE    ;23;bicimad             
103;Ortega y Gasset;-3.686744;40.43053;IN_SERVICE    ;23;bicimad             
104;Castellana;-3.68958;40.42677;IN_SERVICE    ;23;bicimad             
105;Serrano, 46;-3.6875418;40.4270832;IN_SERVICE    ;23;bicimad             
106B;Plaza de Colón B;-3.68789;40.424776;IN_SERVICE    ;19;bicimad             
107;Serrano;-3.68838411;40.42156087;IN_SERVICE    ;23;bicimad             
108;Mártires Concepcionistas;-3.670652;40.427402;IN_SERVICE    ;27;bicimad             
109;Marqués de Salamanca;-3.6814521;40.4301245;IN_SERVICE    ;23;bicimad             
110;Intercambiador de Moncloa;-3.7201021;40.434745;IN_SERVICE    ;23;bicimad             
111A;Metro Moncloa A;-3.7175248;40.4336027;IN_SERVICE    ;23;bicimad             
111B;Metro Moncloa B;-3.7177434;40.433913;IN_SERVICE    ;23;bicimad             
112;Paseo de Moret;-3.724736;40.4326901;IN_SERVICE    ;23;bicimad             
113;Teleférico Madrid;-3.7207263;40.427538;IN_SERVICE    ;24;bicimad             
114;Quintana;-3.7174631;40.4278379;IN_SERVICE    ;23;bicimad             
115;Ferraz;-3.717051506;40.42531477;IN_SERVICE    ;23;bicimad             
116A;Plaza de España;-3.7130447;40.4236775;IN_SERVICE    ;18;bicimad             
116B;Metro Plaza de España;-3.71046;40.423684;IN_SERVICE    ;18;bicimad             
117;Altamirano ;-3.7188898;40.4309797;IN_SERVICE    ;23;bicimad             
