fecha|zona_pernoctacion|edad|sexo|numero_viajes|personas
20240529|01001|0-25|hombre|0|133.037
20240529|01001|0-25|hombre|2|113.57
20240529|01001|0-25|hombre|2+|222.817
20240529|01001|0-25|mujer|0|93.161
20240529|01001|0-25|mujer|2|103.741
20240529|01001|0-25|mujer|2+|212.405
20240529|01001|25-45|hombre|0|87.81
20240529|01001|25-45|hombre|2|74.006
20240529|01001|25-45|hombre|2+|167.905
20240529|01001|25-45|mujer|0|66.879
20240529|01001|25-45|mujer|2|89.63
20240529|01001|25-45|mujer|2+|169.028
20240529|01001|45-65|hombre|0|108.444
20240529|01001|45-65|hombre|2|141.874
20240529|01001|45-65|hombre|2+|264.62
20240529|01001|45-65|mujer|0|100.787
20240529|01001|45-65|mujer|2|176.469
20240529|01001|45-65|mujer|2+|208.849
20240529|01001|65-100|hombre|0|90.713
20240529|01001|65-100|hombre|2|39.908
20240529|01001|65-100|hombre|2+|54.635
20240529|01001|65-100|mujer|0|82.287
20240529|01001|65-100|mujer|2|48.11
20240529|01001|65-100|mujer|2+|71.456
20240529|01002|0-25|hombre|0|287.446
20240529|01002|0-25|hombre|1|70.344
20240529|01002|0-25|hombre|2|329.519
20240529|01002|0-25|hombre|2+|604.709
20240529|01002|0-25|mujer|0|208.795
20240529|01002|0-25|mujer|1|43.376
20240529|01002|0-25|mujer|2|266.473
20240529|01002|0-25|mujer|2+|605.269
20240529|01002|25-45|hombre|0|223.398
20240529|01002|25-45|hombre|1|61.818
20240529|01002|25-45|hombre|2|280.432
20240529|01002|25-45|hombre|2+|577.141
20240529|01002|25-45|mujer|0|242.139
20240529|01002|25-45|mujer|1|31.241
20240529|01002|25-45|mujer|2|280.511
20240529|01002|25-45|mujer|2+|575.178
20240529|01002|45-65|hombre|0|331.188
20240529|01002|45-65|hombre|1|39.676
20240529|01002|45-65|hombre|2|315.638
20240529|01002|45-65|hombre|2+|816.155
20240529|01002|45-65|mujer|0|373.536
20240529|01002|45-65|mujer|1|71.221
20240529|01002|45-65|mujer|2|399.251
20240529|01002|45-65|mujer|2+|762.578
20240529|01002|65-100|hombre|0|317.749
20240529|01002|65-100|hombre|1|48.626
20240529|01002|65-100|hombre|2|214.949
20240529|01002|65-100|hombre|2+|507.559
20240529|01002|65-100|mujer|0|335.384
20240529|01002|65-100|mujer|1|70.146
20240529|01002|65-100|mujer|2|294.848
