fecha|zona_pernoctacion|edad|sexo|numero_viajes|personas
20240523|01001|0-25|hombre|0|160.352
20240523|01001|0-25|hombre|1|10.022
20240523|01001|0-25|hombre|2|128.028
20240523|01001|0-25|hombre|2+|165.036
20240523|01001|0-25|mujer|0|127.408
20240523|01001|0-25|mujer|2|117.291
20240523|01001|0-25|mujer|2+|175.099
20240523|01001|25-45|hombre|0|83.565
20240523|01001|25-45|hombre|2|98.433
20240523|01001|25-45|hombre|2+|150.145
20240523|01001|25-45|mujer|0|74.025
20240523|01001|25-45|mujer|2|111.781
20240523|01001|25-45|mujer|2+|148.914
20240523|01001|45-65|hombre|0|142.842
20240523|01001|45-65|hombre|2|154.926
20240523|01001|45-65|hombre|2+|249.592
20240523|01001|45-65|mujer|0|133.883
20240523|01001|45-65|mujer|2|137.924
20240523|01001|45-65|mujer|2+|208.705
20240523|01001|65-100|hombre|0|88.826
20240523|01001|65-100|hombre|2|65.54
20240523|01001|65-100|hombre|2+|53.904
20240523|01001|65-100|mujer|0|81.224
20240523|01001|65-100|mujer|2|52.695
20240523|01001|65-100|mujer|2+|71.107
20240523|01002|0-25|hombre|0|231.056
20240523|01002|0-25|hombre|1|53.796
20240523|01002|0-25|hombre|2|339.517
20240523|01002|0-25|hombre|2+|640.793
20240523|01002|0-25|mujer|0|255.451
20240523|01002|0-25|mujer|1|49.358
20240523|01002|0-25|mujer|2|250.647
20240523|01002|0-25|mujer|2+|542.111
20240523|01002|25-45|hombre|0|222.755
20240523|01002|25-45|hombre|1|49.473
20240523|01002|25-45|hombre|2|301.775
20240523|01002|25-45|hombre|2+|616.48
20240523|01002|25-45|mujer|0|230.939
20240523|01002|25-45|mujer|1|69.623
20240523|01002|25-45|mujer|2|252.714
20240523|01002|25-45|mujer|2+|561.694
20240523|01002|45-65|hombre|0|348.439
20240523|01002|45-65|hombre|1|49.321
20240523|01002|45-65|hombre|2|363.872
20240523|01002|45-65|hombre|2+|741.092
20240523|01002|45-65|mujer|0|332.934
20240523|01002|45-65|mujer|1|64.493
20240523|01002|45-65|mujer|2|351.06
20240523|01002|45-65|mujer|2+|815.076
20240523|01002|65-100|hombre|0|293.423
20240523|01002|65-100|hombre|1|45.869
20240523|01002|65-100|hombre|2|239.185
20240523|01002|65-100|hombre|2+|507.221
20240523|01002|65-100|mujer|0|365.116
20240523|01002|65-100|mujer|1|75.669
20240523|01002|65-100|mujer|2|283.572
20240523|01002|65-100|mujer|2+|570.068
20240523|01004_AM|0-25|hombre|0|108.801
20240523|01004_AM|0-25|hombre|1|11.409
20240523|01004_AM|0-25|hombre|2|117.484
20240523|01004_AM|0-25|hombre|2+|182.405
20240523|01004_AM|0-25|mujer|0|79.269
20240523|01004_AM|0-25|mujer|2|102.292
20240523|01004_AM|0-25|mujer|2+|166.488
20240523|01004_AM|25-45|hombre|0|99.945
20240523|01004_AM|25-45|hombre|2|65.538
20240523|01004_AM|25-45|hombre|2+|152.586
20240523|01004_AM|25-45|mujer|0|76.702
20240523|01004_AM|25-45|mujer|1|10.589
20240523|01004_AM|25-45|mujer|2|103.186
20240523|01004_AM|25-45|mujer|2+|156.09
20240523|01004_AM|45-65|hombre|0|138.473
20240523|01004_AM|45-65|hombre|2|162.158
20240523|01004_AM|45-65|hombre|2+|206.224
20240523|01004_AM|45-65|mujer|0|167.13
20240523|01004_AM|45-65|mujer|1|11.667
20240523|01004_AM|45-65|mujer|2|127.178
20240523|01004_AM|45-65|mujer|2+|196.336
20240523|01004_AM|65-100|hombre|0|81.068
20240523|01004_AM|65-100|hombre|2|82.795
20240523|01004_AM|65-100|hombre|2+|88.342
20240523|01004_AM|65-100|mujer|0|85.604
20240523|01004_AM|65-100|mujer|2|90.722
20240523|01004_AM|65-100|mujer|2+|120.786
20240523|01009_AM|0-25|hombre|0|144.713
20240523|01009_AM|0-25|hombre|2|123.518
20240523|01009_AM|0-25|hombre|2+|247.207
20240523|01009_AM|0-25|mujer|0|163.373
20240523|01009_AM|0-25|mujer|1|13.319
20240523|01009_AM|0-25|mujer|2|125.87
20240523|01009_AM|0-25|mujer|2+|225.984
20240523|01009_AM|25-45|hombre|0|129.788
20240523|01009_AM|25-45|hombre|1|20.84
20240523|01009_AM|25-45|hombre|2|141.334
20240523|01009_AM|25-45|hombre|2+|283.244
20240523|01009_AM|25-45|mujer|0|94.118
20240523|01009_AM|25-45|mujer|1|16.514
20240523|01009_AM|25-45|mujer|2|88.665
20240523|01009_AM|25-45|mujer|2+|246.161
20240523|01009_AM|45-65|hombre|0|254.448
20240523|01009_AM|45-65|hombre|2|244.691
20240523|01009_AM|45-65|hombre|2+|455.959
20240523|01009_AM|45-65|mujer|0|222.62
20240523|01009_AM|45-65|mujer|1|21.066
20240523|01009_AM|45-65|mujer|2|229.646
20240523|01009_AM|45-65|mujer|2+|343.817
20240523|01009_AM|65-100|hombre|0|169.238
20240523|01009_AM|65-100|hombre|1|18.667
