fecha|zona_pernoctacion|edad|sexo|numero_viajes|personas
20241010|01001|0-25|hombre|0|95.947
20241010|01001|0-25|hombre|2|109.829
20241010|01001|0-25|hombre|2+|252.721
20241010|01001|0-25|mujer|0|98.054
20241010|01001|0-25|mujer|1|13.989
20241010|01001|0-25|mujer|2|116.052
20241010|01001|0-25|mujer|2+|178.038
20241010|01001|25-45|hombre|0|95.585
20241010|01001|25-45|hombre|2|69.489
20241010|01001|25-45|hombre|2+|162.537
20241010|01001|25-45|mujer|0|59.027
20241010|01001|25-45|mujer|2|72.713
20241010|01001|25-45|mujer|2+|172.012
20241010|01001|45-65|hombre|0|110.561
20241010|01001|45-65|hombre|2|153.005
20241010|01001|45-65|hombre|2+|249.002
20241010|01001|45-65|mujer|0|83.622
20241010|01001|45-65|mujer|2|141.561
20241010|01001|45-65|mujer|2+|260.176
20241010|01001|65-100|hombre|0|51.542
20241010|01001|65-100|hombre|2|52.377
20241010|01001|65-100|hombre|2+|78.531
20241010|01001|65-100|mujer|0|74.056
20241010|01001|65-100|mujer|2|46.351
20241010|01001|65-100|mujer|2+|89.079
20241010|01002|0-25|hombre|0|284.288
20241010|01002|0-25|hombre|1|53.064
20241010|01002|0-25|hombre|2|324.722
20241010|01002|0-25|hombre|2+|614.956
20241010|01002|0-25|mujer|0|195.131
20241010|01002|0-25|mujer|1|35.701
20241010|01002|0-25|mujer|2|279.911
20241010|01002|0-25|mujer|2+|609.729
20241010|01002|25-45|hombre|0|246.783
20241010|01002|25-45|hombre|1|26.542
20241010|01002|25-45|hombre|2|277.074
20241010|01002|25-45|hombre|2+|618.686
20241010|01002|25-45|mujer|0|224.820
20241010|01002|25-45|mujer|1|32.549
20241010|01002|25-45|mujer|2|309.894
20241010|01002|25-45|mujer|2+|574.689
20241010|01002|45-65|hombre|0|268.735
20241010|01002|45-65|hombre|1|50.979
20241010|01002|45-65|hombre|2|405.232
20241010|01002|45-65|hombre|2+|796.452
20241010|01002|45-65|mujer|0|312.479
20241010|01002|45-65|mujer|1|87.756
20241010|01002|45-65|mujer|2|383.883
20241010|01002|45-65|mujer|2+|770.975
20241010|01002|65-100|hombre|0|339.935
20241010|01002|65-100|hombre|1|31.413
20241010|01002|65-100|hombre|2|237.473
20241010|01002|65-100|hombre|2+|506.438
20241010|01002|65-100|mujer|0|323.187
20241010|01002|65-100|mujer|1|40.900
20241010|01002|65-100|mujer|2|293.554
20241010|01002|65-100|mujer|2+|671.698
20241010|01004_AM|0-25|hombre|0|98.135
20241010|01004_AM|0-25|hombre|2|127.573
20241010|01004_AM|0-25|hombre|2+|150.214
20241010|01004_AM|0-25|mujer|0|124.199
20241010|01004_AM|0-25|mujer|2|94.912
20241010|01004_AM|0-25|mujer|2+|122.902
20241010|01004_AM|25-45|hombre|0|106.209
20241010|01004_AM|25-45|hombre|2|77.748
20241010|01004_AM|25-45|hombre|2+|141.828
20241010|01004_AM|25-45|mujer|0|88.692
20241010|01004_AM|25-45|mujer|1|12.468
20241010|01004_AM|25-45|mujer|2|88.147
20241010|01004_AM|25-45|mujer|2+|163.709
20241010|01004_AM|45-65|hombre|0|139.208
20241010|01004_AM|45-65|hombre|1|13.193
20241010|01004_AM|45-65|hombre|2|144.866
20241010|01004_AM|45-65|hombre|2+|229.321
20241010|01004_AM|45-65|mujer|0|126.858
20241010|01004_AM|45-65|mujer|1|13.109
20241010|01004_AM|45-65|mujer|2|147.836
20241010|01004_AM|45-65|mujer|2+|211.970
20241010|01004_AM|65-100|hombre|0|93.065
20241010|01004_AM|65-100|hombre|1|14.305
20241010|01004_AM|65-100|hombre|2|79.248
20241010|01004_AM|65-100|hombre|2+|92.189
20241010|01004_AM|65-100|mujer|0|101.008
20241010|01004_AM|65-100|mujer|2|93.863
20241010|01004_AM|65-100|mujer|2+|114.321
20241010|01009_AM|0-25|hombre|0|144.106
20241010|01009_AM|0-25|hombre|2|112.299
20241010|01009_AM|0-25|hombre|2+|276.795
20241010|01009_AM|0-25|mujer|0|131.634
20241010|01009_AM|0-25|mujer|2|134.127
20241010|01009_AM|0-25|mujer|2+|285.314
20241010|01009_AM|25-45|hombre|0|107.313
20241010|01009_AM|25-45|hombre|1|15.126
20241010|01009_AM|25-45|hombre|2|155.243
