fecha|zona_pernoctacion|edad|sexo|numero_viajes|personas
20240428|01001|0-25|hombre|0|192.472
20240428|01001|0-25|hombre|1|20.155
20240428|01001|0-25|hombre|2|72.173
20240428|01001|0-25|hombre|2+|117.623
20240428|01001|0-25|mujer|0|188.509
20240428|01001|0-25|mujer|2|63.468
20240428|01001|0-25|mujer|2+|105.498
20240428|01001|25-45|hombre|0|119.816
20240428|01001|25-45|hombre|1|24.512
20240428|01001|25-45|hombre|2|53.03
20240428|01001|25-45|hombre|2+|86.17
20240428|01001|25-45|mujer|0|133.448
20240428|01001|25-45|mujer|2|54.578
20240428|01001|25-45|mujer|2+|83.702
20240428|01001|45-65|hombre|0|223.242
20240428|01001|45-65|hombre|1|37.692
20240428|01001|45-65|hombre|2|109.904
20240428|01001|45-65|hombre|2+|163.776
20240428|01001|45-65|mujer|0|188.264
20240428|01001|45-65|mujer|1|19.83
20240428|01001|45-65|mujer|2|100.227
20240428|01001|45-65|mujer|2+|136.79
20240428|01001|65-100|hombre|0|104.734
20240428|01001|65-100|hombre|2|38.267
20240428|01001|65-100|hombre|2+|41.555
20240428|01001|65-100|mujer|0|89.218
20240428|01001|65-100|mujer|2|47.321
20240428|01001|65-100|mujer|2+|60.206
20240428|01002|0-25|hombre|0|473.238
20240428|01002|0-25|hombre|1|58.956
20240428|01002|0-25|hombre|2|295.412
20240428|01002|0-25|hombre|2+|467.094
20240428|01002|0-25|mujer|0|340.481
20240428|01002|0-25|mujer|1|88.904
20240428|01002|0-25|mujer|2|274.353
20240428|01002|0-25|mujer|2+|345.003
20240428|01002|25-45|hombre|0|333.929
20240428|01002|25-45|hombre|1|77.729
20240428|01002|25-45|hombre|2|261.657
20240428|01002|25-45|hombre|2+|398.428
20240428|01002|25-45|mujer|0|308.41
20240428|01002|25-45|mujer|1|53.268
20240428|01002|25-45|mujer|2|234.302
20240428|01002|25-45|mujer|2+|460.17
20240428|01002|45-65|hombre|0|468.342
20240428|01002|45-65|hombre|1|101.34
20240428|01002|45-65|hombre|2|368.863
20240428|01002|45-65|hombre|2+|543.366
20240428|01002|45-65|mujer|0|494.197
20240428|01002|45-65|mujer|1|97.7
20240428|01002|45-65|mujer|2|325.336
20240428|01002|45-65|mujer|2+|568.814
20240428|01002|65-100|hombre|0|403.334
20240428|01002|65-100|hombre|1|92.031
20240428|01002|65-100|hombre|2|241.611
20240428|01002|65-100|hombre|2+|296.18
20240428|01002|65-100|mujer|0|453.406
20240428|01002|65-100|mujer|1|69.958
20240428|01002|65-100|mujer|2|251.522
20240428|01002|65-100|mujer|2+|447.724
20240428|01004_AM|0-25|hombre|0|165.199
20240428|01004_AM|0-25|hombre|1|39.666
20240428|01004_AM|0-25|hombre|2|75.812
20240428|01004_AM|0-25|hombre|2+|120.099
20240428|01004_AM|0-25|mujer|0|140.245
20240428|01004_AM|0-25|mujer|1|30.124
20240428|01004_AM|0-25|mujer|2|115.24
20240428|01004_AM|0-25|mujer|2+|100.633
20240428|01004_AM|25-45|hombre|0|155.826
20240428|01004_AM|25-45|hombre|1|24.529
20240428|01004_AM|25-45|hombre|2|53.953
20240428|01004_AM|25-45|hombre|2+|73.746
20240428|01004_AM|25-45|mujer|0|148.205
20240428|01004_AM|25-45|mujer|1|33.069
20240428|01004_AM|25-45|mujer|2|73.686
20240428|01004_AM|25-45|mujer|2+|90.029
20240428|01004_AM|45-65|hombre|0|232.055
20240428|01004_AM|45-65|hombre|1|49.906
20240428|01004_AM|45-65|hombre|2|122.516
20240428|01004_AM|45-65|hombre|2+|124.91
20240428|01004_AM|45-65|mujer|0|262.107
20240428|01004_AM|45-65|mujer|1|26.703
20240428|01004_AM|45-65|mujer|2|105.791
20240428|01004_AM|45-65|mujer|2+|112.596
20240428|01004_AM|65-100|hombre|0|146.76
20240428|01004_AM|65-100|hombre|1|13.49
20240428|01004_AM|65-100|hombre|2|82.93
20240428|01004_AM|65-100|hombre|2+|37.812
20240428|01004_AM|65-100|mujer|0|146.654
20240428|01004_AM|65-100|mujer|2|73.048
20240428|01004_AM|65-100|mujer|2+|73.413
20240428|01009_AM|0-25|hombre|0|210.247
20240428|01009_AM|0-25|hombre|1|28.613
20240428|01009_AM|0-25|hombre|2|147.071
20240428|01009_AM|0-25|hombre|2+|177.623
20240428|01009_AM|0-25|mujer|0|221.006
20240428|01009_AM|0-25|mujer|1|62.706
20240428|01009_AM|0-25|mujer|2|100.253
20240428|01009_AM|0-25|mujer|2+|135.428
20240428|01009_AM|25-45|hombre|0|221.603
20240428|01009_AM|25-45|hombre|1|63.239
20240428|01009_AM|25-45|hombre|2|97.458
20240428|01009_AM|25-45|hombre|2+|191.024
20240428|01009_AM|25-45|mujer|0|157.055
20240428|01009_AM|25-45|mujer|1|26.654
20240428|01009_AM|25-45|mujer|2|85.225
20240428|01009_AM|25-45|mujer|2+|154.149
20240428|01009_AM|45-65|hombre|0|368.647
20240428|01009_AM|45-65|hombre|1|63.269
20240428|01009_AM|45-65|hombre|2|226.483
20240428|01009_AM|45-65|hombre|2+|252.028
20240428|01009_AM|45-65|mujer|0|344.959
