fecha|zona_pernoctacion|edad|sexo|numero_viajes|personas
20241018|01001|0-25|hombre|0|117.475
20241018|01001|0-25|hombre|1|17.924
20241018|01001|0-25|hombre|2|113.234
20241018|01001|0-25|hombre|2+|201.507
20241018|01001|0-25|mujer|0|94.648
20241018|01001|0-25|mujer|1|16.420
20241018|01001|0-25|mujer|2|89.798
20241018|01001|0-25|mujer|2+|201.358
20241018|01001|25-45|hombre|0|81.818
20241018|01001|25-45|hombre|2|66.710
20241018|01001|25-45|hombre|2+|159.323
20241018|01001|25-45|mujer|0|71.013
20241018|01001|25-45|mujer|2|78.720
20241018|01001|25-45|mujer|2+|162.398
20241018|01001|45-65|hombre|0|113.049
20241018|01001|45-65|hombre|2|114.758
20241018|01001|45-65|hombre|2+|272.555
20241018|01001|45-65|mujer|0|108.530
20241018|01001|45-65|mujer|1|12.396
20241018|01001|45-65|mujer|2|120.949
20241018|01001|45-65|mujer|2+|261.855
20241018|01001|65-100|hombre|0|61.568
20241018|01001|65-100|hombre|1|10.596
20241018|01001|65-100|hombre|2|40.620
20241018|01001|65-100|hombre|2+|77.502
20241018|01001|65-100|mujer|0|90.249
20241018|01001|65-100|mujer|2|56.457
20241018|01001|65-100|mujer|2+|65.129
20241018|01002|0-25|hombre|0|309.620
20241018|01002|0-25|hombre|1|60.065
20241018|01002|0-25|hombre|2|216.042
20241018|01002|0-25|hombre|2+|691.493
20241018|01002|0-25|mujer|0|236.797
20241018|01002|0-25|mujer|1|32.232
20241018|01002|0-25|mujer|2|232.198
20241018|01002|0-25|mujer|2+|604.491
20241018|01002|25-45|hombre|0|209.229
20241018|01002|25-45|hombre|1|41.223
20241018|01002|25-45|hombre|2|219.297
20241018|01002|25-45|hombre|2+|714.984
20241018|01002|25-45|mujer|0|183.642
20241018|01002|25-45|mujer|1|58.949
20241018|01002|25-45|mujer|2|277.309
20241018|01002|25-45|mujer|2+|626.008
20241018|01002|45-65|hombre|0|309.901
20241018|01002|45-65|hombre|1|87.900
20241018|01002|45-65|hombre|2|370.264
20241018|01002|45-65|hombre|2+|751.448
20241018|01002|45-65|mujer|0|284.046
20241018|01002|45-65|mujer|1|104.489
20241018|01002|45-65|mujer|2|348.795
20241018|01002|45-65|mujer|2+|785.770
20241018|01002|65-100|hombre|0|294.400
20241018|01002|65-100|hombre|1|47.134
20241018|01002|65-100|hombre|2|282.357
20241018|01002|65-100|hombre|2+|517.152
20241018|01002|65-100|mujer|0|305.295
20241018|01002|65-100|mujer|1|73.172
