fecha|zona_pernoctacion|edad|sexo|numero_viajes|personas
20240424|01001|0-25|hombre|0|133.691
20240424|01001|0-25|hombre|2|120.402
20240424|01001|0-25|hombre|2+|205.719
20240424|01001|0-25|mujer|0|124.774
20240424|01001|0-25|mujer|2|100.419
20240424|01001|0-25|mujer|2+|183.275
20240424|01001|25-45|hombre|0|83.879
20240424|01001|25-45|hombre|2|75.491
20240424|01001|25-45|hombre|2+|156.099
20240424|01001|25-45|mujer|0|68.824
20240424|01001|25-45|mujer|2|83.572
20240424|01001|25-45|mujer|2+|158.241
20240424|01001|45-65|hombre|0|111.85
20240424|01001|45-65|hombre|2|177.061
20240424|01001|45-65|hombre|2+|252.591
20240424|01001|45-65|mujer|0|109.837
20240424|01001|45-65|mujer|2|143.16
20240424|01001|45-65|mujer|2+|218.538
20240424|01001|65-100|hombre|0|70.003
20240424|01001|65-100|hombre|1|24.258
20240424|01001|65-100|hombre|2|44.365
20240424|01001|65-100|hombre|2+|73.405
20240424|01001|65-100|mujer|0|81.617
20240424|01001|65-100|mujer|2|57.111
20240424|01001|65-100|mujer|2+|49.485
20240424|01002|0-25|hombre|0|291.586
20240424|01002|0-25|hombre|1|41.49
20240424|01002|0-25|hombre|2|351.998
20240424|01002|0-25|hombre|2+|593.145
20240424|01002|0-25|mujer|0|215.24
20240424|01002|0-25|mujer|1|53.858
20240424|01002|0-25|mujer|2|294.648
20240424|01002|0-25|mujer|2+|537.392
20240424|01002|25-45|hombre|0|192.507
20240424|01002|25-45|hombre|1|44.434
20240424|01002|25-45|hombre|2|280.753
20240424|01002|25-45|hombre|2+|655.371
20240424|01002|25-45|mujer|0|269.638
20240424|01002|25-45|mujer|1|37.26
20240424|01002|25-45|mujer|2|269.341
20240424|01002|25-45|mujer|2+|574.501
20240424|01002|45-65|hombre|0|295.475
20240424|01002|45-65|hombre|1|59.535
20240424|01002|45-65|hombre|2|359.842
20240424|01002|45-65|hombre|2+|774.907
20240424|01002|45-65|mujer|0|361.655
20240424|01002|45-65|mujer|1|73.436
20240424|01002|45-65|mujer|2|370.198
20240424|01002|45-65|mujer|2+|772.576
20240424|01002|65-100|hombre|0|373.326
20240424|01002|65-100|hombre|1|58.271
20240424|01002|65-100|hombre|2|248.259
20240424|01002|65-100|hombre|2+|403.415
20240424|01002|65-100|mujer|0|397.397
20240424|01002|65-100|mujer|1|55.649
20240424|01002|65-100|mujer|2|363.778
20240424|01002|65-100|mujer|2+|513.09
20240424|01004_AM|0-25|hombre|0|123.514
20240424|01004_AM|0-25|hombre|2|89.147
20240424|01004_AM|0-25|hombre|2+|180.942
20240424|01004_AM|0-25|mujer|0|99.405
20240424|01004_AM|0-25|mujer|2|117.004
20240424|01004_AM|0-25|mujer|2+|154.153
20240424|01004_AM|25-45|hombre|0|79.086
20240424|01004_AM|25-45|hombre|2|96.634
20240424|01004_AM|25-45|hombre|2+|139.335
20240424|01004_AM|25-45|mujer|0|80.672
20240424|01004_AM|25-45|mujer|2|94.581
20240424|01004_AM|25-45|mujer|2+|156.176
20240424|01004_AM|45-65|hombre|0|149.763
20240424|01004_AM|45-65|hombre|1|11.063
20240424|01004_AM|45-65|hombre|2|148.79
20240424|01004_AM|45-65|hombre|2+|213.558
20240424|01004_AM|45-65|mujer|0|133.448
20240424|01004_AM|45-65|mujer|1|10.977
20240424|01004_AM|45-65|mujer|2|127.834
20240424|01004_AM|45-65|mujer|2+|238.445
20240424|01004_AM|65-100|hombre|0|87.205
20240424|01004_AM|65-100|hombre|1|16.88
20240424|01004_AM|65-100|hombre|2|77.328
20240424|01004_AM|65-100|hombre|2+|86.367
20240424|01004_AM|65-100|mujer|0|76.387
20240424|01004_AM|65-100|mujer|1|16.571
20240424|01004_AM|65-100|mujer|2|93.427
20240424|01004_AM|65-100|mujer|2+|124.937
20240424|01009_AM|0-25|hombre|0|158.505
20240424|01009_AM|0-25|hombre|2|99.71
20240424|01009_AM|0-25|hombre|2+|272.377
20240424|01009_AM|0-25|mujer|0|161.746
20240424|01009_AM|0-25|mujer|2|124.167
20240424|01009_AM|0-25|mujer|2+|233.001
20240424|01009_AM|25-45|hombre|0|121.673
20240424|01009_AM|25-45|hombre|2|137.481
20240424|01009_AM|25-45|hombre|2+|279.397
20240424|01009_AM|25-45|mujer|0|106.133
20240424|01009_AM|25-45|mujer|1|11.342
20240424|01009_AM|25-45|mujer|2|102.154
20240424|01009_AM|25-45|mujer|2+|213.726
20240424|01009_AM|45-65|hombre|0|240.795
20240424|01009_AM|45-65|hombre|1|19.104
20240424|01009_AM|45-65|hombre|2|251.076
20240424|01009_AM|45-65|hombre|2+|431.577
20240424|01009_AM|45-65|mujer|0|281.024
20240424|01009_AM|45-65|mujer|1|15.805
20240424|01009_AM|45-65|mujer|2|186.944
20240424|01009_AM|45-65|mujer|2+|354.583
20240424|01009_AM|65-100|hombre|0|204.942
20240424|01009_AM|65-100|hombre|2|123.266
20240424|01009_AM|65-100|hombre|2+|186.029
20240424|01009_AM|65-100|mujer|0|206.697
20240424|01009_AM|65-100|mujer|2|121.841
20240424|01009_AM|65-100|mujer|2+|189.033
20240424|01010|0-25|hombre|0|96.29
20240424|01010|0-25|hombre|2|114.799
20240424|01010|0-25|hombre|2+|175.274
20240424|01010|0-25|mujer|0|91.239
20240424|01010|0-25|mujer|2|91.234
20240424|01010|0-25|mujer|2+|187.116
20240424|01010|25-45|hombre|0|57.066
20240424|01010|25-45|hombre|2|85.509
20240424|01010|25-45|hombre|2+|138.539
20240424|01010|25-45|mujer|0|63.263
20240424|01010|25-45|mujer|1|10.801
20240424|01010|25-45|mujer|2|66.119
20240424|01010|25-45|mujer|2+|140.183
20240424|01010|45-65|hombre|0|113.52
20240424|01010|45-65|hombre|1|20.896
20240424|01010|45-65|hombre|2|144.084
20240424|01010|45-65|hombre|2+|270.042
20240424|01010|45-65|mujer|0|121.559
20240424|01010|45-65|mujer|2|132.863
20240424|01010|45-65|mujer|2+|263.405
20240424|01010|65-100|hombre|0|70.576
20240424|01010|65-100|hombre|2|52.624
20240424|01010|65-100|hombre|2+|136.269
20240424|01010|65-100|mujer|0|58.904
20240424|01010|65-100|mujer|1|11.452
20240424|01010|65-100|mujer|2|84.209
20240424|01010|65-100|mujer|2+|127.781
20240424|01017_AM|0-25|hombre|0|178.742
20240424|01017_AM|0-25|hombre|2|92.977
20240424|01017_AM|0-25|hombre|2+|222.119
20240424|01017_AM|0-25|mujer|0|135.071
20240424|01017_AM|0-25|mujer|2|97.65
20240424|01017_AM|0-25|mujer|2+|160.101
20240424|01017_AM|25-45|hombre|0|123.881
20240424|01017_AM|25-45|hombre|1|13.942
20240424|01017_AM|25-45|hombre|2|113.447
20240424|01017_AM|25-45|hombre|2+|210.891
20240424|01017_AM|25-45|mujer|0|127.009
20240424|01017_AM|25-45|mujer|2|70.903
20240424|01017_AM|25-45|mujer|2+|202.442
20240424|01017_AM|45-65|hombre|0|261.954
20240424|01017_AM|45-65|hombre|1|18.582
20240424|01017_AM|45-65|hombre|2|140.86
20240424|01017_AM|45-65|hombre|2+|408.274
20240424|01017_AM|45-65|mujer|0|171.631
20240424|01017_AM|45-65|mujer|2|125.385
20240424|01017_AM|45-65|mujer|2+|344.014
20240424|01017_AM|65-100|hombre|0|237.921
20240424|01017_AM|65-100|hombre|1|12.979
20240424|01017_AM|65-100|hombre|2|110.443
20240424|01017_AM|65-100|hombre|2+|208.866
20240424|01017_AM|65-100|mujer|0|207.611
20240424|01017_AM|65-100|mujer|2|126.043
20240424|01017_AM|65-100|mujer|2+|231.821
20240424|01028_AM|0-25|hombre|0|282.453
20240424|01028_AM|0-25|hombre|1|31.089
20240424|01028_AM|0-25|hombre|2|231.906
20240424|01028_AM|0-25|hombre|2+|391.054
20240424|01028_AM|0-25|mujer|0|230.102
20240424|01028_AM|0-25|mujer|1|10.24
20240424|01028_AM|0-25|mujer|2|173.393
20240424|01028_AM|0-25|mujer|2+|369.16
20240424|01028_AM|25-45|hombre|0|244.712
20240424|01028_AM|25-45|hombre|2|181.307
20240424|01028_AM|25-45|hombre|2+|464.576
20240424|01028_AM|25-45|mujer|0|162.466
20240424|01028_AM|25-45|mujer|1|15.002
20240424|01028_AM|25-45|mujer|2|173.261
20240424|01028_AM|25-45|mujer|2+|436.148
20240424|01028_AM|45-65|hombre|0|356.195
20240424|01028_AM|45-65|hombre|1|29.426
20240424|01028_AM|45-65|hombre|2|375.993
20240424|01028_AM|45-65|hombre|2+|527.049
20240424|01028_AM|45-65|mujer|0|267.489
20240424|01028_AM|45-65|mujer|1|23.138
20240424|01028_AM|45-65|mujer|2|269.498
20240424|01028_AM|45-65|mujer|2+|566.708
20240424|01028_AM|65-100|hombre|0|331.373
20240424|01028_AM|65-100|hombre|1|25.801
20240424|01028_AM|65-100|hombre|2|194.19
20240424|01028_AM|65-100|hombre|2+|347.895
20240424|01028_AM|65-100|mujer|0|390.566
20240424|01028_AM|65-100|mujer|2|167.458
20240424|01028_AM|65-100|mujer|2+|353.944
