fecha|zona_pernoctacion|edad|sexo|numero_viajes|personas
20241106|01001|0-25|hombre|0|115.834
20241106|01001|0-25|hombre|2|122.586
20241106|01001|0-25|hombre|2+|220.86
20241106|01001|0-25|mujer|0|86.538
20241106|01001|0-25|mujer|2|117.666
20241106|01001|0-25|mujer|2+|198.867
20241106|01001|25-45|hombre|0|81.343
20241106|01001|25-45|hombre|2|67.172
20241106|01001|25-45|hombre|2+|159.493
20241106|01001|25-45|mujer|0|102.445
20241106|01001|25-45|mujer|1|10.188
20241106|01001|25-45|mujer|2|73.055
20241106|01001|25-45|mujer|2+|157.633
20241106|01001|45-65|hombre|0|117.865
20241106|01001|45-65|hombre|2|150.219
20241106|01001|45-65|hombre|2+|259.225
20241106|01001|45-65|mujer|0|109.454
20241106|01001|45-65|mujer|2|136.525
20241106|01001|45-65|mujer|2+|236.46
20241106|01001|65-100|hombre|0|47.326
20241106|01001|65-100|hombre|2|42.205
20241106|01001|65-100|hombre|2+|88.526
20241106|01001|65-100|mujer|0|94.79
20241106|01001|65-100|mujer|2|42.259
20241106|01001|65-100|mujer|2+|72.321
20241106|01002|0-25|hombre|0|306.762
20241106|01002|0-25|hombre|1|39.73
20241106|01002|0-25|hombre|2|318.575
20241106|01002|0-25|hombre|2+|608.947
20241106|01002|0-25|mujer|0|238.065
20241106|01002|0-25|mujer|1|39.697
20241106|01002|0-25|mujer|2|296.447
20241106|01002|0-25|mujer|2+|586.907
20241106|01002|25-45|hombre|0|293.597
20241106|01002|25-45|hombre|1|35.611
20241106|01002|25-45|hombre|2|241.867
20241106|01002|25-45|hombre|2+|610.906
20241106|01002|25-45|mujer|0|224.334
20241106|01002|25-45|mujer|1|51.479
20241106|01002|25-45|mujer|2|292.509
20241106|01002|25-45|mujer|2+|574.264
20241106|01002|45-65|hombre|0|301.981
20241106|01002|45-65|hombre|1|39.041
20241106|01002|45-65|hombre|2|394.84
20241106|01002|45-65|hombre|2+|832.202
20241106|01002|45-65|mujer|0|338.496
20241106|01002|45-65|mujer|1|72.896
20241106|01002|45-65|mujer|2|426.821
20241106|01002|45-65|mujer|2+|737.723
20241106|01002|65-100|hombre|0|302.896
20241106|01002|65-100|hombre|1|52.763
20241106|01002|65-100|hombre|2|255.931
20241106|01002|65-100|hombre|2+|492.031
20241106|01002|65-100|mujer|0|343.012
20241106|01002|65-100|mujer|1|40.091
20241106|01002|65-100|mujer|2|283.589
20241106|01002|65-100|mujer|2+|642.357
20241106|01004_AM|0-25|hombre|0|112.817
20241106|01004_AM|0-25|hombre|2|106.986
20241106|01004_AM|0-25|hombre|2+|177.308
20241106|01004_AM|0-25|mujer|0|113.486
20241106|01004_AM|0-25|mujer|1|15.68
20241106|01004_AM|0-25|mujer|2|68.467
20241106|01004_AM|0-25|mujer|2+|161.999
20241106|01004_AM|25-45|hombre|0|95.872
20241106|01004_AM|25-45|hombre|1|11.608
20241106|01004_AM|25-45|hombre|2|92.172
20241106|01004_AM|25-45|hombre|2+|146.275
20241106|01004_AM|25-45|mujer|0|71.091
20241106|01004_AM|25-45|mujer|2|105.614
20241106|01004_AM|25-45|mujer|2+|154.9
20241106|01004_AM|45-65|hombre|0|139.491
20241106|01004_AM|45-65|hombre|2|141.375
20241106|01004_AM|45-65|hombre|2+|224.537
20241106|01004_AM|45-65|mujer|0|157.819
20241106|01004_AM|45-65|mujer|2|141.699
20241106|01004_AM|45-65|mujer|2+|212.966
20241106|01004_AM|65-100|hombre|0|93.523
20241106|01004_AM|65-100|hombre|2|58.622
20241106|01004_AM|65-100|hombre|2+|104.759
20241106|01004_AM|65-100|mujer|0|105.051
20241106|01004_AM|65-100|mujer|2|91.871
20241106|01004_AM|65-100|mujer|2+|98.198
20241106|01009_AM|0-25|hombre|0|145.294
20241106|01009_AM|0-25|hombre|1|14.218
20241106|01009_AM|0-25|hombre|2|160.748
20241106|01009_AM|0-25|hombre|2+|242.433
20241106|01009_AM|0-25|mujer|0|141.185
20241106|01009_AM|0-25|mujer|1|14.794
20241106|01009_AM|0-25|mujer|2|136.286
20241106|01009_AM|0-25|mujer|2+|250.999
20241106|01009_AM|25-45|hombre|0|111.243
20241106|01009_AM|25-45|hombre|2|181.94
20241106|01009_AM|25-45|hombre|2+|281.59
20241106|01009_AM|25-45|mujer|0|107.7
20241106|01009_AM|25-45|mujer|2|109.276
20241106|01009_AM|25-45|mujer|2+|218.485
20241106|01009_AM|45-65|hombre|0|201.541
20241106|01009_AM|45-65|hombre|1|14.676
20241106|01009_AM|45-65|hombre|2|260.496
20241106|01009_AM|45-65|hombre|2+|547.338
20241106|01009_AM|45-65|mujer|0|189.503
20241106|01009_AM|45-65|mujer|2|208.842
20241106|01009_AM|45-65|mujer|2+|404.427
20241106|01009_AM|65-100|hombre|0|154.52
20241106|01009_AM|65-100|hombre|1|18.874
20241106|01009_AM|65-100|hombre|2|148.586
20241106|01009_AM|65-100|hombre|2+|205.582
20241106|01009_AM|65-100|mujer|0|170.247
20241106|01009_AM|65-100|mujer|2|122.907
20241106|01009_AM|65-100|mujer|2+|210.593
20241106|01010|0-25|hombre|0|82.51
20241106|01010|0-25|hombre|1|11.0
20241106|01010|0-25|hombre|2|106.942
20241106|01010|0-25|hombre|2+|189.308
20241106|01010|0-25|mujer|0|69.331
20241106|01010|0-25|mujer|2|105.228
20241106|01010|0-25|mujer|2+|177.401
20241106|01010|25-45|hombre|0|55.889
20241106|01010|25-45|hombre|2|99.907
20241106|01010|25-45|hombre|2+|130.91
20241106|01010|25-45|mujer|0|45.92
20241106|01010|25-45|mujer|2|63.21
20241106|01010|25-45|mujer|2+|159.683
20241106|01010|45-65|hombre|0|95.023
20241106|01010|45-65|hombre|2|148.168
20241106|01010|45-65|hombre|2+|283.848
20241106|01010|45-65|mujer|0|85.926
20241106|01010|45-65|mujer|2|149.646
20241106|01010|45-65|mujer|2+|288.636
20241106|01010|65-100|hombre|0|49.42
20241106|01010|65-100|hombre|2|64.882
20241106|01010|65-100|hombre|2+|145.566
20241106|01010|65-100|mujer|0|65.162
20241106|01010|65-100|mujer|2|66.498
20241106|01010|65-100|mujer|2+|149.605
20241106|01017_AM|0-25|hombre|0|183.935
20241106|01017_AM|0-25|hombre|1|22.828
20241106|01017_AM|0-25|hombre|2|105.756
20241106|01017_AM|0-25|hombre|2+|199.376
20241106|01017_AM|0-25|mujer|0|100.523
20241106|01017_AM|0-25|mujer|1|15.697
20241106|01017_AM|0-25|mujer|2|105.38
20241106|01017_AM|0-25|mujer|2+|180.727
20241106|01017_AM|25-45|hombre|0|152.391
20241106|01017_AM|25-45|hombre|2|122.507
20241106|01017_AM|25-45|hombre|2+|205.261
20241106|01017_AM|25-45|mujer|0|119.693
20241106|01017_AM|25-45|mujer|2|76.241
20241106|01017_AM|25-45|mujer|2+|192.016
20241106|01017_AM|45-65|hombre|0|255.915
20241106|01017_AM|45-65|hombre|1|10.829
20241106|01017_AM|45-65|hombre|2|191.951
20241106|01017_AM|45-65|hombre|2+|260.662
20241106|01017_AM|45-65|mujer|0|176.894
20241106|01017_AM|45-65|mujer|1|11.019
20241106|01017_AM|45-65|mujer|2|132.736
20241106|01017_AM|45-65|mujer|2+|308.455
20241106|01017_AM|65-100|hombre|0|244.787
20241106|01017_AM|65-100|hombre|2|114.559
20241106|01017_AM|65-100|hombre|2+|193.142
20241106|01017_AM|65-100|mujer|0|224.783
20241106|01017_AM|65-100|mujer|1|19.924
20241106|01017_AM|65-100|mujer|2|124.055
20241106|01017_AM|65-100|mujer|2+|190.672
20241106|01028_AM|0-25|hombre|0|246.059
20241106|01028_AM|0-25|hombre|1|12.308
20241106|01028_AM|0-25|hombre|2|146.702
20241106|01028_AM|0-25|hombre|2+|388.848
20241106|01028_AM|0-25|mujer|0|181.169
20241106|01028_AM|0-25|mujer|1|16.377
20241106|01028_AM|0-25|mujer|2|125.042
20241106|01028_AM|0-25|mujer|2+|400.173
20241106|01028_AM|25-45|hombre|0|262.234
20241106|01028_AM|25-45|hombre|1|29.637
20241106|01028_AM|25-45|hombre|2|180.557
20241106|01028_AM|25-45|hombre|2+|427.187
20241106|01028_AM|25-45|mujer|0|177.854
20241106|01028_AM|25-45|mujer|1|27.709
20241106|01028_AM|25-45|mujer|2|157.762
20241106|01028_AM|25-45|mujer|2+|391.997
20241106|01028_AM|45-65|hombre|0|388.875
20241106|01028_AM|45-65|hombre|1|28.086
20241106|01028_AM|45-65|hombre|2|293.548
20241106|01028_AM|45-65|hombre|2+|574.409
20241106|01028_AM|45-65|mujer|0|249.984
20241106|01028_AM|45-65|mujer|1|28.204
20241106|01028_AM|45-65|mujer|2|224.666
20241106|01028_AM|45-65|mujer|2+|468.268
20241106|01028_AM|65-100|hombre|0|298.596
20241106|01028_AM|65-100|hombre|1|38.955
20241106|01028_AM|65-100|hombre|2|214.0
20241106|01028_AM|65-100|hombre|2+|294.049
20241106|01028_AM|65-100|mujer|0|221.106
20241106|01028_AM|65-100|mujer|1|41.073
20241106|01028_AM|65-100|mujer|2|189.391
20241106|01028_AM|65-100|mujer|2+|416.775
20241106|01036|0-25|hombre|0|483.602
20241106|01036|0-25|hombre|1|60.642
20241106|01036|0-25|hombre|2|498.107
20241106|01036|0-25|hombre|2+|897.299
20241106|01036|0-25|mujer|0|471.521
20241106|01036|0-25|mujer|1|39.975
20241106|01036|0-25|mujer|2|429.38
20241106|01036|0-25|mujer|2+|893.28
20241106|01036|25-45|hombre|0|458.759
20241106|01036|25-45|hombre|1|61.925
20241106|01036|25-45|hombre|2|428.446
20241106|01036|25-45|hombre|2+|836.613
20241106|01036|25-45|mujer|0|404.553
20241106|01036|25-45|mujer|1|52.712
20241106|01036|25-45|mujer|2|489.474
20241106|01036|25-45|mujer|2+|929.951
