fecha|zona_pernoctacion|edad|sexo|numero_viajes|personas
20240131|01001|0-25|hombre|0|173.506
20240131|01001|0-25|hombre|2|79.533
20240131|01001|0-25|hombre|2+|199.948
20240131|01001|0-25|mujer|0|102.202
20240131|01001|0-25|mujer|2|112.099
20240131|01001|0-25|mujer|2+|191.213
20240131|01001|25-45|hombre|0|106.56
20240131|01001|25-45|hombre|2|68.672
20240131|01001|25-45|hombre|2+|141.882
20240131|01001|25-45|mujer|0|61.174
20240131|01001|25-45|mujer|2|106.429
20240131|01001|25-45|mujer|2+|154.014
20240131|01001|45-65|hombre|0|150.722
20240131|01001|45-65|hombre|2|137.257
20240131|01001|45-65|hombre|2+|269.518
20240131|01001|45-65|mujer|0|111.673
20240131|01001|45-65|mujer|1|12.054
20240131|01001|45-65|mujer|2|118.283
20240131|01001|45-65|mujer|2+|233.674
20240131|01001|65-100|hombre|0|70.06
20240131|01001|65-100|hombre|2|51.511
20240131|01001|65-100|hombre|2+|43.672
20240131|01001|65-100|mujer|0|55.059
20240131|01001|65-100|mujer|2|55.157
20240131|01001|65-100|mujer|2+|66.726
20240131|01002|0-25|hombre|0|325.575
20240131|01002|0-25|hombre|1|62.679
20240131|01002|0-25|hombre|2|355.82
20240131|01002|0-25|hombre|2+|531.404
20240131|01002|0-25|mujer|0|244.926
20240131|01002|0-25|mujer|1|44.09
20240131|01002|0-25|mujer|2|326.417
20240131|01002|0-25|mujer|2+|498.937
20240131|01002|25-45|hombre|0|267.298
20240131|01002|25-45|hombre|1|53.984
20240131|01002|25-45|hombre|2|252.857
20240131|01002|25-45|hombre|2+|662.945
20240131|01002|25-45|mujer|0|254.385
20240131|01002|25-45|mujer|1|43.076
20240131|01002|25-45|mujer|2|255.792
20240131|01002|25-45|mujer|2+|595.817
20240131|01002|45-65|hombre|0|406.869
20240131|01002|45-65|hombre|1|53.062
20240131|01002|45-65|hombre|2|371.552
20240131|01002|45-65|hombre|2+|707.532
20240131|01002|45-65|mujer|0|294.934
20240131|01002|45-65|mujer|1|33.064
20240131|01002|45-65|mujer|2|392.649
20240131|01002|45-65|mujer|2+|852.046
20240131|01002|65-100|hombre|0|296.015
20240131|01002|65-100|hombre|1|43.007
20240131|01002|65-100|hombre|2|239.89
20240131|01002|65-100|hombre|2+|475.869
