fecha|zona_pernoctacion|edad|sexo|numero_viajes|personas
20240512|01001|0-25|hombre|0|248.391
20240512|01001|0-25|hombre|1|18.267
20240512|01001|0-25|hombre|2|98.795
20240512|01001|0-25|hombre|2+|77.04
20240512|01001|0-25|mujer|0|203.574
20240512|01001|0-25|mujer|1|20.408
20240512|01001|0-25|mujer|2|83.84
20240512|01001|0-25|mujer|2+|102.286
20240512|01001|25-45|hombre|0|157.078
20240512|01001|25-45|hombre|1|16.992
20240512|01001|25-45|hombre|2|61.596
20240512|01001|25-45|hombre|2+|82.687
20240512|01001|25-45|mujer|0|150.377
20240512|01001|25-45|mujer|1|10.832
20240512|01001|25-45|mujer|2|67.923
20240512|01001|25-45|mujer|2+|72.696
20240512|01001|45-65|hombre|0|262.056
20240512|01001|45-65|hombre|1|25.944
20240512|01001|45-65|hombre|2|106.016
20240512|01001|45-65|hombre|2+|136.233
20240512|01001|45-65|mujer|0|250.89
20240512|01001|45-65|mujer|1|19.827
20240512|01001|45-65|mujer|2|91.432
20240512|01001|45-65|mujer|2+|113.607
20240512|01001|65-100|hombre|0|104.504
20240512|01001|65-100|hombre|1|14.472
20240512|01001|65-100|hombre|2|39.434
20240512|01001|65-100|hombre|2+|44.474
20240512|01001|65-100|mujer|0|120.915
20240512|01001|65-100|mujer|2|38.628
20240512|01001|65-100|mujer|2+|47.616
20240512|01002|0-25|hombre|0|435.577
20240512|01002|0-25|hombre|1|125.566
20240512|01002|0-25|hombre|2|275.778
20240512|01002|0-25|hombre|2+|503.052
20240512|01002|0-25|mujer|0|371.174
20240512|01002|0-25|mujer|1|84.154
20240512|01002|0-25|mujer|2|220.663
20240512|01002|0-25|mujer|2+|450.717
20240512|01002|25-45|hombre|0|317.46
20240512|01002|25-45|hombre|1|120.215
20240512|01002|25-45|hombre|2|283.669
20240512|01002|25-45|hombre|2+|512.677
20240512|01002|25-45|mujer|0|358.995
20240512|01002|25-45|mujer|1|95.909
20240512|01002|25-45|mujer|2|262.014
20240512|01002|25-45|mujer|2+|466.887
20240512|01002|45-65|hombre|0|456.827
20240512|01002|45-65|hombre|1|192.503
20240512|01002|45-65|hombre|2|346.592
20240512|01002|45-65|hombre|2+|611.854
20240512|01002|45-65|mujer|0|400.338
20240512|01002|45-65|mujer|1|160.538
20240512|01002|45-65|mujer|2|409.797
20240512|01002|45-65|mujer|2+|612.115
20240512|01002|65-100|hombre|0|340.117
20240512|01002|65-100|hombre|1|100.418
20240512|01002|65-100|hombre|2|259.754
20240512|01002|65-100|hombre|2+|406.672
20240512|01002|65-100|mujer|0|446.232
20240512|01002|65-100|mujer|1|119.212
20240512|01002|65-100|mujer|2|309.608
20240512|01002|65-100|mujer|2+|452.917
20240512|01004_AM|0-25|hombre|0|166.775
20240512|01004_AM|0-25|hombre|1|74.925
20240512|01004_AM|0-25|hombre|2|72.118
20240512|01004_AM|0-25|hombre|2+|116.392
20240512|01004_AM|0-25|mujer|0|160.696
20240512|01004_AM|0-25|mujer|1|22.833
20240512|01004_AM|0-25|mujer|2|88.865
20240512|01004_AM|0-25|mujer|2+|114.061
20240512|01004_AM|25-45|hombre|0|167.59
20240512|01004_AM|25-45|hombre|1|33.343
20240512|01004_AM|25-45|hombre|2|60.512
20240512|01004_AM|25-45|hombre|2+|76.631
20240512|01004_AM|25-45|mujer|0|155.61
20240512|01004_AM|25-45|mujer|1|43.269
20240512|01004_AM|25-45|mujer|2|71.916
20240512|01004_AM|25-45|mujer|2+|78.256
20240512|01004_AM|45-65|hombre|0|255.57
20240512|01004_AM|45-65|hombre|1|41.172
20240512|01004_AM|45-65|hombre|2|100.969
20240512|01004_AM|45-65|hombre|2+|100.406
20240512|01004_AM|45-65|mujer|0|215.896
20240512|01004_AM|45-65|mujer|1|39.768
20240512|01004_AM|45-65|mujer|2|100.052
20240512|01004_AM|45-65|mujer|2+|139.529
20240512|01004_AM|65-100|hombre|0|123.894
20240512|01004_AM|65-100|hombre|1|30.35
20240512|01004_AM|65-100|hombre|2|37.892
20240512|01004_AM|65-100|hombre|2+|59.408
20240512|01004_AM|65-100|mujer|0|122.263
20240512|01004_AM|65-100|mujer|1|39.509
20240512|01004_AM|65-100|mujer|2|86.295
20240512|01004_AM|65-100|mujer|2+|79.072
20240512|01009_AM|0-25|hombre|0|202.544
20240512|01009_AM|0-25|hombre|1|61.089
20240512|01009_AM|0-25|hombre|2|168.113
20240512|01009_AM|0-25|hombre|2+|167.345
20240512|01009_AM|0-25|mujer|0|238.063
20240512|01009_AM|0-25|mujer|1|46.533
20240512|01009_AM|0-25|mujer|2|124.658
20240512|01009_AM|0-25|mujer|2+|198.289
20240512|01009_AM|25-45|hombre|0|212.203
20240512|01009_AM|25-45|hombre|1|71.966
20240512|01009_AM|25-45|hombre|2|177.001
20240512|01009_AM|25-45|hombre|2+|204.232
20240512|01009_AM|25-45|mujer|0|159.596
20240512|01009_AM|25-45|mujer|1|67.579
20240512|01009_AM|25-45|mujer|2|121.996
20240512|01009_AM|25-45|mujer|2+|167.825
20240512|01009_AM|45-65|hombre|0|447.16
20240512|01009_AM|45-65|hombre|1|88.5
20240512|01009_AM|45-65|hombre|2|235.466
20240512|01009_AM|45-65|hombre|2+|266.265
20240512|01009_AM|45-65|mujer|0|354.111
20240512|01009_AM|45-65|mujer|1|104.193
20240512|01009_AM|45-65|mujer|2|204.996
20240512|01009_AM|45-65|mujer|2+|284.718
20240512|01009_AM|65-100|hombre|0|280.109
20240512|01009_AM|65-100|hombre|1|78.288
20240512|01009_AM|65-100|hombre|2|122.927
20240512|01009_AM|65-100|hombre|2+|154.464
20240512|01009_AM|65-100|mujer|0|281.832
20240512|01009_AM|65-100|mujer|1|66.079
20240512|01009_AM|65-100|mujer|2|135.13
20240512|01009_AM|65-100|mujer|2+|142.129
20240512|01010|0-25|hombre|0|171.735
20240512|01010|0-25|hombre|1|17.944
20240512|01010|0-25|hombre|2|81.658
20240512|01010|0-25|hombre|2+|103.366
20240512|01010|0-25|mujer|0|125.19
20240512|01010|0-25|mujer|1|24.531
20240512|01010|0-25|mujer|2|80.88
20240512|01010|0-25|mujer|2+|114.375
20240512|01010|25-45|hombre|0|86.943
20240512|01010|25-45|hombre|1|21.16
20240512|01010|25-45|hombre|2|54.821
20240512|01010|25-45|hombre|2+|121.427
20240512|01010|25-45|mujer|0|105.985
20240512|01010|25-45|mujer|1|31.014
20240512|01010|25-45|mujer|2|67.393
20240512|01010|25-45|mujer|2+|88.972
20240512|01010|45-65|hombre|0|182.737
20240512|01010|45-65|hombre|1|56.607
20240512|01010|45-65|hombre|2|92.937
20240512|01010|45-65|hombre|2+|190.517
20240512|01010|45-65|mujer|0|185.401
20240512|01010|45-65|mujer|1|39.802
20240512|01010|45-65|mujer|2|105.669
20240512|01010|45-65|mujer|2+|144.862
20240512|01010|65-100|hombre|0|102.048
20240512|01010|65-100|hombre|1|38.406
20240512|01010|65-100|hombre|2|51.15
20240512|01010|65-100|hombre|2+|73.267
20240512|01010|65-100|mujer|0|111.219
20240512|01010|65-100|mujer|1|42.204
20240512|01010|65-100|mujer|2|47.852
20240512|01010|65-100|mujer|2+|100.582
20240512|01017_AM|0-25|hombre|0|265.871
20240512|01017_AM|0-25|hombre|1|152.337
20240512|01017_AM|0-25|hombre|2|135.501
20240512|01017_AM|0-25|hombre|2+|153.072
20240512|01017_AM|0-25|mujer|0|207.102
20240512|01017_AM|0-25|mujer|1|136.086
20240512|01017_AM|0-25|mujer|2|184.915
20240512|01017_AM|0-25|mujer|2+|190.6
20240512|01017_AM|25-45|hombre|0|261.807
20240512|01017_AM|25-45|hombre|1|76.15
20240512|01017_AM|25-45|hombre|2|131.693
20240512|01017_AM|25-45|hombre|2+|205.554
20240512|01017_AM|25-45|mujer|0|173.029
20240512|01017_AM|25-45|mujer|1|112.483
20240512|01017_AM|25-45|mujer|2|137.886
20240512|01017_AM|25-45|mujer|2+|166.051
20240512|01017_AM|45-65|hombre|0|381.593
20240512|01017_AM|45-65|hombre|1|123.595
20240512|01017_AM|45-65|hombre|2|261.604
20240512|01017_AM|45-65|hombre|2+|375.737
20240512|01017_AM|45-65|mujer|0|339.963
20240512|01017_AM|45-65|mujer|1|150.425
20240512|01017_AM|45-65|mujer|2|189.813
20240512|01017_AM|45-65|mujer|2+|239.327
20240512|01017_AM|65-100|hombre|0|358.672
20240512|01017_AM|65-100|hombre|1|65.639
20240512|01017_AM|65-100|hombre|2|138.726
20240512|01017_AM|65-100|hombre|2+|183.173
20240512|01017_AM|65-100|mujer|0|317.049
20240512|01017_AM|65-100|mujer|1|124.092
20240512|01017_AM|65-100|mujer|2|170.457
20240512|01017_AM|65-100|mujer|2+|202.277
20240512|01028_AM|0-25|hombre|0|419.491
20240512|01028_AM|0-25|hombre|1|155.036
20240512|01028_AM|0-25|hombre|2|248.426
20240512|01028_AM|0-25|hombre|2+|388.106
20240512|01028_AM|0-25|mujer|0|344.714
20240512|01028_AM|0-25|mujer|1|148.051
20240512|01028_AM|0-25|mujer|2|163.985
20240512|01028_AM|0-25|mujer|2+|455.871
20240512|01028_AM|25-45|hombre|0|403.345
20240512|01028_AM|25-45|hombre|1|116.916
20240512|01028_AM|25-45|hombre|2|207.738
20240512|01028_AM|25-45|hombre|2+|497.753
20240512|01028_AM|25-45|mujer|0|291.407
20240512|01028_AM|25-45|mujer|1|133.872
20240512|01028_AM|25-45|mujer|2|189.927
20240512|01028_AM|25-45|mujer|2+|460.0
20240512|01028_AM|45-65|hombre|0|609.084
20240512|01028_AM|45-65|hombre|1|203.02
20240512|01028_AM|45-65|hombre|2|351.785
20240512|01028_AM|45-65|hombre|2+|538.028
20240512|01028_AM|45-65|mujer|0|421.887
20240512|01028_AM|45-65|mujer|1|149.011
20240512|01028_AM|45-65|mujer|2|366.363
20240512|01028_AM|45-65|mujer|2+|511.707
20240512|01028_AM|65-100|hombre|0|462.809
20240512|01028_AM|65-100|hombre|1|104.414
20240512|01028_AM|65-100|hombre|2|194.67
20240512|01028_AM|65-100|hombre|2+|280.677
20240512|01028_AM|65-100|mujer|0|421.159
20240512|01028_AM|65-100|mujer|1|114.157
20240512|01028_AM|65-100|mujer|2|261.117
20240512|01028_AM|65-100|mujer|2+|352.883
20240512|01036|0-25|hombre|0|715.582
20240512|01036|0-25|hombre|1|120.214
20240512|01036|0-25|hombre|2|370.62
20240512|01036|0-25|hombre|2+|537.744
20240512|01036|0-25|mujer|0|700.495
20240512|01036|0-25|mujer|1|117.444
20240512|01036|0-25|mujer|2|345.638
20240512|01036|0-25|mujer|2+|488.656
20240512|01036|25-45|hombre|0|642.833
20240512|01036|25-45|hombre|1|100.616
20240512|01036|25-45|hombre|2|368.61
20240512|01036|25-45|hombre|2+|555.386
20240512|01036|25-45|mujer|0|649.65
20240512|01036|25-45|mujer|1|106.457
20240512|01036|25-45|mujer|2|397.309
20240512|01036|25-45|mujer|2+|520.432
20240512|01036|45-65|hombre|0|1055.074
20240512|01036|45-65|hombre|1|158.53
20240512|01036|45-65|hombre|2|579.826
20240512|01036|45-65|hombre|2+|842.868
20240512|01036|45-65|mujer|0|1074.812
20240512|01036|45-65|mujer|1|162.357
20240512|01036|45-65|mujer|2|514.299
20240512|01036|45-65|mujer|2+|775.972
20240512|01036|65-100|hombre|0|934.837
20240512|01036|65-100|hombre|1|115.633
20240512|01036|65-100|hombre|2|336.584
20240512|01036|65-100|hombre|2+|500.04
20240512|01036|65-100|mujer|0|963.561
20240512|01036|65-100|mujer|1|159.751
20240512|01036|65-100|mujer|2|563.303
20240512|01036|65-100|mujer|2+|795.231
20240512|01043|0-25|hombre|0|231.736
20240512|01043|0-25|hombre|2|117.31
20240512|01043|0-25|hombre|2+|182.051
20240512|01043|0-25|mujer|0|257.349
20240512|01043|0-25|mujer|1|20.902
20240512|01043|0-25|mujer|2|112.289
20240512|01043|0-25|mujer|2+|142.826
20240512|01043|25-45|hombre|0|160.031
20240512|01043|25-45|hombre|1|21.203
20240512|01043|25-45|hombre|2|83.331
20240512|01043|25-45|hombre|2+|112.805
20240512|01043|25-45|mujer|0|180.031
20240512|01043|25-45|mujer|1|19.632
20240512|01043|25-45|mujer|2|110.407
20240512|01043|25-45|mujer|2+|104.226
20240512|01043|45-65|hombre|0|296.168
20240512|01043|45-65|hombre|1|19.492
20240512|01043|45-65|hombre|2|151.028
20240512|01043|45-65|hombre|2+|163.39
20240512|01043|45-65|mujer|0|226.616
20240512|01043|45-65|mujer|1|21.086
20240512|01043|45-65|mujer|2|93.672
20240512|01043|45-65|mujer|2+|176.041
20240512|01043|65-100|hombre|0|122.518
20240512|01043|65-100|hombre|1|27.704
20240512|01043|65-100|hombre|2|54.934
20240512|01043|65-100|hombre|2+|55.497
20240512|01043|65-100|mujer|0|169.984
20240512|01043|65-100|mujer|1|19.556
20240512|01043|65-100|mujer|2|65.201
20240512|01043|65-100|mujer|2+|101.834
20240512|01047_AM|0-25|hombre|0|173.448
20240512|01047_AM|0-25|hombre|1|90.217
20240512|01047_AM|0-25|hombre|2|158.758
20240512|01047_AM|0-25|hombre|2+|162.525
20240512|01047_AM|0-25|mujer|0|95.287
20240512|01047_AM|0-25|mujer|1|82.234
20240512|01047_AM|0-25|mujer|2|162.392
20240512|01047_AM|0-25|mujer|2+|176.63
20240512|01047_AM|25-45|hombre|0|142.203
20240512|01047_AM|25-45|hombre|1|72.56
20240512|01047_AM|25-45|hombre|2|109.125
20240512|01047_AM|25-45|hombre|2+|260.324
20240512|01047_AM|25-45|mujer|0|143.987
20240512|01047_AM|25-45|mujer|1|67.07
20240512|01047_AM|25-45|mujer|2|123.503
20240512|01047_AM|25-45|mujer|2+|217.771
20240512|01047_AM|45-65|hombre|0|317.038
20240512|01047_AM|45-65|hombre|1|111.841
20240512|01047_AM|45-65|hombre|2|195.702
20240512|01047_AM|45-65|hombre|2+|356.882
20240512|01047_AM|45-65|mujer|0|254.352
20240512|01047_AM|45-65|mujer|1|95.185
20240512|01047_AM|45-65|mujer|2|180.175
20240512|01047_AM|45-65|mujer|2+|242.852
20240512|01047_AM|65-100|hombre|0|237.679
20240512|01047_AM|65-100|hombre|1|86.386
20240512|01047_AM|65-100|hombre|2|76.905
20240512|01047_AM|65-100|hombre|2+|164.991
20240512|01047_AM|65-100|mujer|0|230.04
20240512|01047_AM|65-100|mujer|1|80.223
20240512|01047_AM|65-100|mujer|2|114.529
20240512|01047_AM|65-100|mujer|2+|163.641
20240512|01051|0-25|hombre|0|441.978
20240512|01051|0-25|hombre|1|32.331
20240512|01051|0-25|hombre|2|115.792
20240512|01051|0-25|hombre|2+|106.508
20240512|01051|0-25|mujer|0|409.003
20240512|01051|0-25|mujer|1|17.619
20240512|01051|0-25|mujer|2|162.985
20240512|01051|0-25|mujer|2+|110.929
20240512|01051|25-45|hombre|0|368.405
20240512|01051|25-45|hombre|1|41.003
20240512|01051|25-45|hombre|2|127.839
20240512|01051|25-45|hombre|2+|131.622
20240512|01051|25-45|mujer|0|309.062
20240512|01051|25-45|mujer|1|35.764
20240512|01051|25-45|mujer|2|92.167
20240512|01051|25-45|mujer|2+|99.21
20240512|01051|45-65|hombre|0|401.327
20240512|01051|45-65|hombre|1|42.737
20240512|01051|45-65|hombre|2|190.028
20240512|01051|45-65|hombre|2+|116.436
20240512|01051|45-65|mujer|0|416.139
20240512|01051|45-65|mujer|1|50.854
20240512|01051|45-65|mujer|2|128.933
20240512|01051|45-65|mujer|2+|159.464
20240512|01051|65-100|hombre|0|281.347
20240512|01051|65-100|hombre|1|18.055
20240512|01051|65-100|hombre|2|80.141
20240512|01051|65-100|hombre|2+|73.724
20240512|01051|65-100|mujer|0|311.387
20240512|01051|65-100|mujer|1|20.995
20240512|01051|65-100|mujer|2|74.914
20240512|01051|65-100|mujer|2+|93.937
20240512|01054_AM|0-25|hombre|0|174.348
20240512|01054_AM|0-25|hombre|1|47.838
20240512|01054_AM|0-25|hombre|2|82.386
20240512|01054_AM|0-25|hombre|2+|121.953
20240512|01054_AM|0-25|mujer|0|143.138
20240512|01054_AM|0-25|mujer|1|42.138
20240512|01054_AM|0-25|mujer|2|90.066
20240512|01054_AM|0-25|mujer|2+|110.305
20240512|01054_AM|25-45|hombre|0|148.805
20240512|01054_AM|25-45|hombre|1|28.293
20240512|01054_AM|25-45|hombre|2|82.001
20240512|01054_AM|25-45|hombre|2+|145.221
20240512|01054_AM|25-45|mujer|0|136.644
20240512|01054_AM|25-45|mujer|1|55.257
20240512|01054_AM|25-45|mujer|2|83.9
20240512|01054_AM|25-45|mujer|2+|120.73
20240512|01054_AM|45-65|hombre|0|243.498
20240512|01054_AM|45-65|hombre|1|71.336
20240512|01054_AM|45-65|hombre|2|122.783
20240512|01054_AM|45-65|hombre|2+|157.623
