fecha|zona_pernoctacion|edad|sexo|numero_viajes|personas
20241225|01001|0-25|hombre|0|200.965
20241225|01001|0-25|hombre|1|40.138
20241225|01001|0-25|hombre|2|72.528
20241225|01001|0-25|hombre|2+|114.683
20241225|01001|0-25|mujer|0|179.542
20241225|01001|0-25|mujer|1|46.307
20241225|01001|0-25|mujer|2|75.058
20241225|01001|0-25|mujer|2+|108.288
20241225|01001|25-45|hombre|0|161.251
20241225|01001|25-45|hombre|1|33.097
20241225|01001|25-45|hombre|2|60.253
20241225|01001|25-45|hombre|2+|99.215
20241225|01001|25-45|mujer|0|119.221
20241225|01001|25-45|mujer|1|27.884
20241225|01001|25-45|mujer|2|82.866
20241225|01001|25-45|mujer|2+|100.740
20241225|01001|45-65|hombre|0|218.085
20241225|01001|45-65|hombre|1|45.717
20241225|01001|45-65|hombre|2|84.344
20241225|01001|45-65|hombre|2+|116.526
20241225|01001|45-65|mujer|0|199.745
20241225|01001|45-65|mujer|1|41.095
20241225|01001|45-65|mujer|2|73.663
20241225|01001|45-65|mujer|2+|129.381
20241225|01001|65-100|hombre|0|88.014
20241225|01001|65-100|hombre|1|27.072
20241225|01001|65-100|hombre|2|49.949
20241225|01001|65-100|hombre|2+|25.483
20241225|01001|65-100|mujer|0|123.127
20241225|01001|65-100|mujer|1|24.705
20241225|01001|65-100|mujer|2|27.718
20241225|01001|65-100|mujer|2+|47.132
20241225|01002|0-25|hombre|0|415.828
20241225|01002|0-25|hombre|1|156.929
20241225|01002|0-25|hombre|2|279.736
20241225|01002|0-25|hombre|2+|453.564
20241225|01002|0-25|mujer|0|330.531
20241225|01002|0-25|mujer|1|109.679
20241225|01002|0-25|mujer|2|238.755
20241225|01002|0-25|mujer|2+|438.557
20241225|01002|25-45|hombre|0|370.817
20241225|01002|25-45|hombre|1|134.982
20241225|01002|25-45|hombre|2|212.820
20241225|01002|25-45|hombre|2+|491.008
20241225|01002|25-45|mujer|0|348.512
20241225|01002|25-45|mujer|1|109.485
20241225|01002|25-45|mujer|2|246.051
20241225|01002|25-45|mujer|2+|470.831
20241225|01002|45-65|hombre|0|462.835
20241225|01002|45-65|hombre|1|148.667
20241225|01002|45-65|hombre|2|286.069
20241225|01002|45-65|hombre|2+|637.305
20241225|01002|45-65|mujer|0|462.312
20241225|01002|45-65|mujer|1|179.589
20241225|01002|45-65|mujer|2|298.919
20241225|01002|45-65|mujer|2+|628.036
20241225|01002|65-100|hombre|0|362.250
20241225|01002|65-100|hombre|1|98.146
20241225|01002|65-100|hombre|2|243.809
20241225|01002|65-100|hombre|2+|432.089
20241225|01002|65-100|mujer|0|434.865
20241225|01002|65-100|mujer|1|136.130
20241225|01002|65-100|mujer|2|267.293
20241225|01002|65-100|mujer|2+|506.204
20241225|01004_AM|0-25|hombre|0|169.456
20241225|01004_AM|0-25|hombre|1|24.683
20241225|01004_AM|0-25|hombre|2|92.023
20241225|01004_AM|0-25|hombre|2+|135.926
20241225|01004_AM|0-25|mujer|0|203.895
20241225|01004_AM|0-25|mujer|1|47.153
20241225|01004_AM|0-25|mujer|2|66.561
20241225|01004_AM|0-25|mujer|2+|84.867
20241225|01004_AM|25-45|hombre|0|130.539
20241225|01004_AM|25-45|hombre|1|37.482
20241225|01004_AM|25-45|hombre|2|84.857
20241225|01004_AM|25-45|hombre|2+|100.009
20241225|01004_AM|25-45|mujer|0|155.577
20241225|01004_AM|25-45|mujer|1|52.753
20241225|01004_AM|25-45|mujer|2|75.056
20241225|01004_AM|25-45|mujer|2+|102.968
20241225|01004_AM|45-65|hombre|0|239.737
20241225|01004_AM|45-65|hombre|1|34.463
20241225|01004_AM|45-65|hombre|2|119.423
20241225|01004_AM|45-65|hombre|2+|124.439
20241225|01004_AM|45-65|mujer|0|275.568
20241225|01004_AM|45-65|mujer|1|70.822
20241225|01004_AM|45-65|mujer|2|116.554
20241225|01004_AM|45-65|mujer|2+|109.083
20241225|01004_AM|65-100|hombre|0|145.114
20241225|01004_AM|65-100|hombre|1|34.070
20241225|01004_AM|65-100|hombre|2|75.498
20241225|01004_AM|65-100|hombre|2+|36.684
20241225|01004_AM|65-100|mujer|0|199.810
20241225|01004_AM|65-100|mujer|1|44.085
20241225|01004_AM|65-100|mujer|2|41.364
20241225|01004_AM|65-100|mujer|2+|76.404
20241225|01009_AM|0-25|hombre|0|253.331
20241225|01009_AM|0-25|hombre|1|100.755
20241225|01009_AM|0-25|hombre|2|136.115
20241225|01009_AM|0-25|hombre|2+|223.888
20241225|01009_AM|0-25|mujer|0|267.132
20241225|01009_AM|0-25|mujer|1|90.660
20241225|01009_AM|0-25|mujer|2|148.131
20241225|01009_AM|0-25|mujer|2+|247.527
20241225|01009_AM|25-45|hombre|0|223.337
20241225|01009_AM|25-45|hombre|1|151.877
20241225|01009_AM|25-45|hombre|2|123.759
20241225|01009_AM|25-45|hombre|2+|225.539
20241225|01009_AM|25-45|mujer|0|222.158
20241225|01009_AM|25-45|mujer|1|79.331
20241225|01009_AM|25-45|mujer|2|112.814
