fecha|zona_pernoctacion|edad|sexo|numero_viajes|personas
20240510|01001|0-25|hombre|0|136.45
20240510|01001|0-25|hombre|2|94.14
20240510|01001|0-25|hombre|2+|239.201
20240510|01001|0-25|mujer|0|85.445
20240510|01001|0-25|mujer|2|79.577
20240510|01001|0-25|mujer|2+|231.73
20240510|01001|25-45|hombre|0|65.235
20240510|01001|25-45|hombre|2|79.934
20240510|01001|25-45|hombre|2+|193.531
20240510|01001|25-45|mujer|0|70.734
20240510|01001|25-45|mujer|2|77.448
20240510|01001|25-45|mujer|2+|155.944
20240510|01001|45-65|hombre|0|93.503
20240510|01001|45-65|hombre|1|15.016
20240510|01001|45-65|hombre|2|149.504
20240510|01001|45-65|hombre|2+|292.49
20240510|01001|45-65|mujer|0|84.673
20240510|01001|45-65|mujer|1|12.096
20240510|01001|45-65|mujer|2|129.778
20240510|01001|45-65|mujer|2+|253.591
20240510|01001|65-100|hombre|0|86.461
20240510|01001|65-100|hombre|2|34.611
20240510|01001|65-100|hombre|2+|65.696
20240510|01001|65-100|mujer|0|84.785
20240510|01001|65-100|mujer|2|39.636
20240510|01001|65-100|mujer|2+|67.852
20240510|01002|0-25|hombre|0|294.218
20240510|01002|0-25|hombre|1|53.311
20240510|01002|0-25|hombre|2|358.358
20240510|01002|0-25|hombre|2+|586.708
20240510|01002|0-25|mujer|0|233.408
20240510|01002|0-25|mujer|1|36.871
20240510|01002|0-25|mujer|2|268.035
20240510|01002|0-25|mujer|2+|539.715
20240510|01002|25-45|hombre|0|225.634
20240510|01002|25-45|hombre|1|70.295
20240510|01002|25-45|hombre|2|251.927
20240510|01002|25-45|hombre|2+|626.759
20240510|01002|25-45|mujer|0|226.759
20240510|01002|25-45|mujer|1|48.202
20240510|01002|25-45|mujer|2|299.103
20240510|01002|25-45|mujer|2+|552.359
20240510|01002|45-65|hombre|0|350.453
20240510|01002|45-65|hombre|1|45.656
20240510|01002|45-65|hombre|2|274.094
20240510|01002|45-65|hombre|2+|838.235
20240510|01002|45-65|mujer|0|344.013
20240510|01002|45-65|mujer|1|72.377
20240510|01002|45-65|mujer|2|326.282
20240510|01002|45-65|mujer|2+|810.996
20240510|01002|65-100|hombre|0|256.964
20240510|01002|65-100|hombre|1|70.051
20240510|01002|65-100|hombre|2|268.896
20240510|01002|65-100|hombre|2+|510.742
20240510|01002|65-100|mujer|0|354.657
20240510|01002|65-100|mujer|1|89.803
20240510|01002|65-100|mujer|2|339.99
20240510|01002|65-100|mujer|2+|529.011
20240510|01004_AM|0-25|hombre|0|95.567
20240510|01004_AM|0-25|hombre|2|131.564
20240510|01004_AM|0-25|hombre|2+|163.765
20240510|01004_AM|0-25|mujer|0|57.364
20240510|01004_AM|0-25|mujer|1|19.725
20240510|01004_AM|0-25|mujer|2|93.044
20240510|01004_AM|0-25|mujer|2+|192.244
20240510|01004_AM|25-45|hombre|0|86.808
20240510|01004_AM|25-45|hombre|2|88.97
20240510|01004_AM|25-45|hombre|2+|138.577
20240510|01004_AM|25-45|mujer|0|85.675
20240510|01004_AM|25-45|mujer|2|92.624
20240510|01004_AM|25-45|mujer|2+|143.072
20240510|01004_AM|45-65|hombre|0|113.467
20240510|01004_AM|45-65|hombre|1|10.001
20240510|01004_AM|45-65|hombre|2|154.651
20240510|01004_AM|45-65|hombre|2+|229.25
20240510|01004_AM|45-65|mujer|0|124.08
20240510|01004_AM|45-65|mujer|2|117.267
20240510|01004_AM|45-65|mujer|2+|239.059
20240510|01004_AM|65-100|hombre|0|108.072
20240510|01004_AM|65-100|hombre|1|10.88
20240510|01004_AM|65-100|hombre|2|46.227
20240510|01004_AM|65-100|hombre|2+|101.711
20240510|01004_AM|65-100|mujer|0|90.71
20240510|01004_AM|65-100|mujer|2|63.634
20240510|01004_AM|65-100|mujer|2+|151.535
20240510|01009_AM|0-25|hombre|0|135.802
20240510|01009_AM|0-25|hombre|1|18.567
20240510|01009_AM|0-25|hombre|2|124.495
20240510|01009_AM|0-25|hombre|2+|255.025
20240510|01009_AM|0-25|mujer|0|165.107
20240510|01009_AM|0-25|mujer|2|108.467
20240510|01009_AM|0-25|mujer|2+|262.386
20240510|01009_AM|25-45|hombre|0|99.556
20240510|01009_AM|25-45|hombre|1|13.778
20240510|01009_AM|25-45|hombre|2|130.373
20240510|01009_AM|25-45|hombre|2+|292.347
20240510|01009_AM|25-45|mujer|0|78.938
20240510|01009_AM|25-45|mujer|1|17.718
20240510|01009_AM|25-45|mujer|2|92.48
20240510|01009_AM|25-45|mujer|2+|256.854
20240510|01009_AM|45-65|hombre|0|215.117
20240510|01009_AM|45-65|hombre|1|24.141
20240510|01009_AM|45-65|hombre|2|233.759
20240510|01009_AM|45-65|hombre|2+|493.361
20240510|01009_AM|45-65|mujer|0|212.77
20240510|01009_AM|45-65|mujer|1|22.503
20240510|01009_AM|45-65|mujer|2|172.034
20240510|01009_AM|45-65|mujer|2+|440.918
20240510|01009_AM|65-100|hombre|0|162.183
20240510|01009_AM|65-100|hombre|1|20.695
20240510|01009_AM|65-100|hombre|2|122.279
20240510|01009_AM|65-100|hombre|2+|221.979
20240510|01009_AM|65-100|mujer|0|172.09
20240510|01009_AM|65-100|mujer|1|15.229
20240510|01009_AM|65-100|mujer|2|137.15
20240510|01009_AM|65-100|mujer|2+|190.447
20240510|01010|0-25|hombre|0|94.256
20240510|01010|0-25|hombre|1|12.043
20240510|01010|0-25|hombre|2|83.143
20240510|01010|0-25|hombre|2+|197.062
20240510|01010|0-25|mujer|0|80.858
20240510|01010|0-25|mujer|1|13.887
20240510|01010|0-25|mujer|2|54.786
20240510|01010|0-25|mujer|2+|213.254
20240510|01010|25-45|hombre|0|38.926
20240510|01010|25-45|hombre|1|13.901
20240510|01010|25-45|hombre|2|66.731
20240510|01010|25-45|hombre|2+|171.741
20240510|01010|25-45|mujer|0|55.641
20240510|01010|25-45|mujer|1|14.382
20240510|01010|25-45|mujer|2|57.102
20240510|01010|25-45|mujer|2+|154.687
20240510|01010|45-65|hombre|0|102.243
20240510|01010|45-65|hombre|1|23.612
20240510|01010|45-65|hombre|2|139.612
20240510|01010|45-65|hombre|2+|286.424
20240510|01010|45-65|mujer|0|97.683
20240510|01010|45-65|mujer|1|24.712
20240510|01010|45-65|mujer|2|137.508
20240510|01010|45-65|mujer|2+|261.396
20240510|01010|65-100|hombre|0|57.221
20240510|01010|65-100|hombre|2|58.311
20240510|01010|65-100|hombre|2+|136.561
20240510|01010|65-100|mujer|0|60.005
20240510|01010|65-100|mujer|2|67.629
20240510|01010|65-100|mujer|2+|152.088
20240510|01017_AM|0-25|hombre|0|156.359
20240510|01017_AM|0-25|hombre|2|108.973
20240510|01017_AM|0-25|hombre|2+|209.576
20240510|01017_AM|0-25|mujer|0|137.858
20240510|01017_AM|0-25|mujer|2|107.958
20240510|01017_AM|0-25|mujer|2+|192.288
20240510|01017_AM|25-45|hombre|0|169.814
