fecha|zona_pernoctacion|edad|sexo|numero_viajes|personas
20240705|01001|0-25|hombre|0|143.034
20240705|01001|0-25|hombre|2|111.598
20240705|01001|0-25|hombre|2+|183.144
20240705|01001|0-25|mujer|0|113.246
20240705|01001|0-25|mujer|2|102.734
20240705|01001|0-25|mujer|2+|164.051
20240705|01001|25-45|hombre|0|78.152
20240705|01001|25-45|hombre|2|91.901
20240705|01001|25-45|hombre|2+|152.051
20240705|01001|25-45|mujer|0|83.086
20240705|01001|25-45|mujer|1|15.638
20240705|01001|25-45|mujer|2|66.098
20240705|01001|25-45|mujer|2+|129.670
20240705|01001|45-65|hombre|0|181.537
20240705|01001|45-65|hombre|1|14.459
20240705|01001|45-65|hombre|2|99.476
20240705|01001|45-65|hombre|2+|223.754
20240705|01001|45-65|mujer|0|115.444
20240705|01001|45-65|mujer|1|17.871
20240705|01001|45-65|mujer|2|102.835
20240705|01001|45-65|mujer|2+|233.568
20240705|01001|65-100|hombre|0|64.808
20240705|01001|65-100|hombre|2|46.524
20240705|01001|65-100|hombre|2+|63.641
20240705|01001|65-100|mujer|0|81.912
20240705|01001|65-100|mujer|2|47.594
20240705|01001|65-100|mujer|2+|71.411
20240705|01002|0-25|hombre|0|250.392
20240705|01002|0-25|hombre|1|67.507
20240705|01002|0-25|hombre|2|308.848
20240705|01002|0-25|hombre|2+|609.392
20240705|01002|0-25|mujer|0|200.113
20240705|01002|0-25|mujer|1|76.042
20240705|01002|0-25|mujer|2|263.067
20240705|01002|0-25|mujer|2+|516.860
20240705|01002|25-45|hombre|0|280.189
20240705|01002|25-45|hombre|1|42.784
20240705|01002|25-45|hombre|2|226.431
20240705|01002|25-45|hombre|2+|562.501
20240705|01002|25-45|mujer|0|293.987
20240705|01002|25-45|mujer|1|83.933
20240705|01002|25-45|mujer|2|254.658
20240705|01002|25-45|mujer|2+|526.983
20240705|01002|45-65|hombre|0|323.752
20240705|01002|45-65|hombre|1|74.023
20240705|01002|45-65|hombre|2|332.299
20240705|01002|45-65|hombre|2+|749.764
20240705|01002|45-65|mujer|0|334.541
20240705|01002|45-65|mujer|1|68.327
20240705|01002|45-65|mujer|2|358.508
20240705|01002|45-65|mujer|2+|736.313
20240705|01002|65-100|hombre|0|292.787
20240705|01002|65-100|hombre|1|82.007
20240705|01002|65-100|hombre|2|219.474
20240705|01002|65-100|hombre|2+|425.183
20240705|01002|65-100|mujer|0|359.928
20240705|01002|65-100|mujer|1|88.812
20240705|01002|65-100|mujer|2|284.976
20240705|01002|65-100|mujer|2+|529.801
20240705|01004_AM|0-25|hombre|0|116.160
20240705|01004_AM|0-25|hombre|1|22.202
20240705|01004_AM|0-25|hombre|2|93.915
20240705|01004_AM|0-25|hombre|2+|141.062
20240705|01004_AM|0-25|mujer|0|131.755
20240705|01004_AM|0-25|mujer|1|19.681
20240705|01004_AM|0-25|mujer|2|108.413
20240705|01004_AM|0-25|mujer|2+|90.875
20240705|01004_AM|25-45|hombre|0|102.976
20240705|01004_AM|25-45|hombre|1|13.772
20240705|01004_AM|25-45|hombre|2|57.238
20240705|01004_AM|25-45|hombre|2+|150.783
20240705|01004_AM|25-45|mujer|0|106.866
20240705|01004_AM|25-45|mujer|1|22.905
20240705|01004_AM|25-45|mujer|2|56.580
20240705|01004_AM|25-45|mujer|2+|125.371
20240705|01004_AM|45-65|hombre|0|169.149
20240705|01004_AM|45-65|hombre|1|16.386
20240705|01004_AM|45-65|hombre|2|160.836
20240705|01004_AM|45-65|hombre|2+|154.572
20240705|01004_AM|45-65|mujer|0|163.318
20240705|01004_AM|45-65|mujer|1|28.108
20240705|01004_AM|45-65|mujer|2|115.292
20240705|01004_AM|45-65|mujer|2+|213.224
20240705|01004_AM|65-100|hombre|0|104.626
20240705|01004_AM|65-100|hombre|1|14.189
20240705|01004_AM|65-100|hombre|2|64.567
20240705|01004_AM|65-100|hombre|2+|87.071
20240705|01004_AM|65-100|mujer|0|145.003
20240705|01004_AM|65-100|mujer|1|11.865
